CINDA BACKUP   BCK00120240426 157569  65309
    474) Area:1 Z=48  CD-122    bl:1     ln:2    
    475) Area:1 Z=48  CD-123    bl:1     ln:2    
    476) Area:1 Z=48  CD-124    bl:1     ln:2    
    477) Area:1 Z=48  CD-125    bl:1     ln:2    
    478) Area:1 Z=48  CD-126    bl:1     ln:2    
    479) Area:1 Z=48  CD-127    bl:1     ln:2    
    480) Area:1 Z=48  CD-128    bl:1     ln:2    
    481) Area:1 Z=48  CD-129    bl:1     ln:2    
    482) Area:1 Z=48  CD-130    bl:1     ln:2    
    483) Area:1 Z=48  CD-131    bl:1     ln:2    
    484) Area:1 Z=48  CD-132    bl:1     ln:2    
    485) Area:1 Z=48  CD-133    bl:1     ln:2    
    486) Area:1 Z=48  CD-134    bl:1     ln:2    
    487) Area:1 Z=48  CD-135    bl:1     ln:2    
    488) Area:1 Z=48  CD-136    bl:1     ln:2    
    489) Area:1 Z=48  CD-137    bl:1     ln:2    
    490) Area:1 Z=48  CD-138    bl:1     ln:2    
    491) Area:1 Z=48  CD-139    bl:1     ln:2    
    492) Area:1 Z=48  CD-140    bl:1     ln:2    
    493) Area:1 Z=48  CD-CMP    bl:1     ln:1    
    494) Area:1 Z=49  IN-0      bl:195   ln:488  
    495) Area:1 Z=49  IN-112    bl:2     ln:2    
    496) Area:1 Z=49  IN-113    bl:59    ln:145  
    497) Area:1 Z=49  IN-114    bl:3     ln:3    
    498) Area:1 Z=49  IN-115    bl:270   ln:598  
    499) Area:1 Z=49  IN-116    bl:2     ln:2    
    500) Area:1 Z=50  SN-0      bl:254   ln:646  
    501) Area:1 Z=50  SN-111    bl:2     ln:2    
    502) Area:1 Z=50  SN-112    bl:84    ln:201  
    503) Area:1 Z=50  SN-113    bl:5     ln:7    
    504) Area:1 Z=50  SN-114    bl:30    ln:70   
    505) Area:1 Z=50  SN-115    bl:27    ln:52   
    506) Area:1 Z=50  SN-116    bl:165   ln:469  
    507) Area:1 Z=50  SN-117    bl:83    ln:179  
    508) Area:1 Z=50  SN-118    bl:114   ln:306  
    509) Area:1 Z=50  SN-119    bl:63    ln:124  
    510) Area:1 Z=50  SN-120    bl:200   ln:566  
    511) Area:1 Z=50  SN-121    bl:2     ln:2    
    512) Area:1 Z=50  SN-122    bl:83    ln:234  
    513) Area:1 Z=50  SN-123    bl:4     ln:11   
    514) Area:1 Z=50  SN-124    bl:138   ln:375  
    515) Area:1 Z=50  SN-125    bl:5     ln:8    
    516) Area:1 Z=50  SN-126    bl:6     ln:12   
    517) Area:1 Z=50  SN-127    bl:2     ln:4    
    518) Area:1 Z=50  SN-128    bl:2     ln:5    
    519) Area:1 Z=50  SN-130    bl:7     ln:9    
    520) Area:1 Z=50  SN-131    bl:5     ln:5    
    521) Area:1 Z=50  SN-132    bl:3     ln:7    
    522) Area:1 Z=51  SB-0      bl:172   ln:464  
    523) Area:1 Z=51  SB-116    bl:1     ln:1    
    524) Area:1 Z=51  SB-117    bl:3     ln:3    
    525) Area:1 Z=51  SB-118    bl:1     ln:1    
    526) Area:1 Z=51  SB-119    bl:1     ln:1    
    527) Area:1 Z=51  SB-120    bl:2     ln:2    
    528) Area:1 Z=51  SB-121    bl:108   ln:221  
    529) Area:1 Z=51  SB-122    bl:4     ln:4    
    530) Area:1 Z=51  SB-123    bl:87    ln:172  
    531) Area:1 Z=51  SB-124    bl:10    ln:22   
    532) Area:1 Z=51  SB-125    bl:2     ln:5    
    533) Area:1 Z=51  SB-126    bl:3     ln:6    
    534) Area:1 Z=51  SB-127    bl:1     ln:1    
    535) Area:1 Z=52  TE-0      bl:81    ln:175  
    536) Area:1 Z=52  TE-120    bl:21    ln:52   
    537) Area:1 Z=52  TE-122    bl:42    ln:82   
    538) Area:1 Z=52  TE-123    bl:57    ln:109  
    539) Area:1 Z=52  TE-123-M1 bl:2     ln:4    
    540) Area:1 Z=52  TE-124    bl:55    ln:112  
    541) Area:1 Z=52  TE-125    bl:46    ln:95   
    542) Area:1 Z=52  TE-126    bl:72    ln:151  
    543) Area:1 Z=52  TE-127    bl:3     ln:6    
    544) Area:1 Z=52  TE-128    bl:74    ln:160  
    545) Area:1 Z=52  TE-129    bl:4     ln:7    
    546) Area:1 Z=52  TE-130    bl:89    ln:217  
    547) Area:1 Z=52  TE-131    bl:1     ln:1    
    548) Area:1 Z=52  TE-132    bl:5     ln:8    
    549) Area:1 Z=52  TE-CMP    bl:1     ln:2    
    550) Area:1 Z=53  I-0       bl:1     ln:1    
    551) Area:1 Z=53  I-125     bl:6     ln:10   
    552) Area:1 Z=53  I-126     bl:7     ln:19   
    553) Area:1 Z=53  I-127     bl:286   ln:605  
    554) Area:1 Z=53  I-128     bl:1     ln:1    
    555) Area:1 Z=53  I-129     bl:37    ln:72   
    556) Area:1 Z=53  I-130     bl:7     ln:15   
    557) Area:1 Z=53  I-131     bl:14    ln:26   
    558) Area:1 Z=53  I-133     bl:1     ln:1    
    559) Area:1 Z=53  I-135     bl:3     ln:6    
    560) Area:1 Z=53  I-CMP     bl:4     ln:10   
    561) Area:1 Z=54  XE-0      bl:32    ln:60   
    562) Area:1 Z=54  XE-121    bl:1     ln:1    
    563) Area:1 Z=54  XE-124    bl:27    ln:62   
    564) Area:1 Z=54  XE-125    bl:4     ln:9    
    565) Area:1 Z=54  XE-126    bl:16    ln:34   
    566) Area:1 Z=54  XE-127    bl:1     ln:2    
    567) Area:1 Z=54  XE-128    bl:22    ln:45   
    568) Area:1 Z=54  XE-129    bl:21    ln:36   
    569) Area:1 Z=54  XE-130    bl:28    ln:59   
    570) Area:1 Z=54  XE-131    bl:30    ln:51   
    571) Area:1 Z=54  XE-132    bl:34    ln:65   
    572) Area:1 Z=54  XE-133    bl:6     ln:11   
    573) Area:1 Z=54  XE-134    bl:34    ln:70   
    574) Area:1 Z=54  XE-135    bl:25    ln:53   
    575) Area:1 Z=54  XE-136    bl:54    ln:113  
    576) Area:1 Z=54  XE-137    bl:6     ln:6    
    577) Area:1 Z=54  XE-138    bl:9     ln:9    
    578) Area:1 Z=54  XE-139    bl:9     ln:9    
    579) Area:1 Z=55  CS-0      bl:1     ln:1    
    580) Area:1 Z=55  CS-132    bl:2     ln:3    
    581) Area:1 Z=55  CS-133    bl:182   ln:407  
    582) Area:1 Z=55  CS-134    bl:10    ln:18   
    583) Area:1 Z=55  CS-135    bl:21    ln:34   
    584) Area:1 Z=55  CS-136    bl:2     ln:5    
    585) Area:1 Z=55  CS-137    bl:15    ln:22   
    586) Area:1 Z=55  CS-CMP    bl:6     ln:15   
    587) Area:1 Z=56  BA-0      bl:81    ln:175  
    588) Area:1 Z=56  BA-130    bl:33    ln:80   
    589) Area:1 Z=56  BA-131    bl:1     ln:1    
    590) Area:1 Z=56  BA-132    bl:22    ln:37   
    591) Area:1 Z=56  BA-133    bl:3     ln:5    
    592) Area:1 Z=56  BA-134    bl:42    ln:91   
    593) Area:1 Z=56  BA-135    bl:37    ln:76   
    594) Area:1 Z=56  BA-136    bl:52    ln:108  
    595) Area:1 Z=56  BA-137    bl:38    ln:67   
    596) Area:1 Z=56  BA-138    bl:83    ln:178  
    597) Area:1 Z=56  BA-139    bl:4     ln:7    
    598) Area:1 Z=56  BA-140    bl:10    ln:20   
    599) Area:1 Z=56  BA-145    bl:5     ln:5    
    600) Area:1 Z=56  BA-146    bl:5     ln:5    
    601) Area:1 Z=56  BA-CMP    bl:3     ln:5    
    602) Area:1 Z=57  LA-0      bl:30    ln:65   
    603) Area:1 Z=57  LA-138    bl:22    ln:54   
    604) Area:1 Z=57  LA-139    bl:181   ln:427  
    605) Area:1 Z=57  LA-140    bl:13    ln:28   
    606) Area:1 Z=57  LA-CMP    bl:1     ln:1    
    607) Area:1 Z=57  LA-OXI    bl:2     ln:4    
    608) Area:1 Z=58  CE-0      bl:68    ln:165  
    609) Area:1 Z=58  CE-136    bl:21    ln:38   
    610) Area:1 Z=58  CE-137    bl:3     ln:3    
    611) Area:1 Z=58  CE-138    bl:22    ln:40   
    612) Area:1 Z=58  CE-139    bl:5     ln:6    
    613) Area:1 Z=58  CE-140    bl:112   ln:267  
    614) Area:1 Z=58  CE-141    bl:8     ln:17   
    615) Area:1 Z=58  CE-142    bl:84    ln:199  
    616) Area:1 Z=58  CE-143    bl:8     ln:13   
    617) Area:1 Z=58  CE-144    bl:10    ln:19   
    618) Area:1 Z=59  PR-0      bl:1     ln:1    
    619) Area:1 Z=59  PR-140    bl:1     ln:1    
    620) Area:1 Z=59  PR-141    bl:182   ln:423  
    621) Area:1 Z=59  PR-142    bl:9     ln:14   
    622) Area:1 Z=59  PR-143    bl:11    ln:22   
    623) Area:1 Z=59  PR-145    bl:1     ln:1    
    624) Area:1 Z=59  PR-CMP    bl:1     ln:1    
    625) Area:1 Z=60  ND-0      bl:63    ln:148  
    626) Area:1 Z=60  ND-141    bl:1     ln:1    
    627) Area:1 Z=60  ND-142    bl:73    ln:144  
    628) Area:1 Z=60  ND-143    bl:75    ln:134  
    629) Area:1 Z=60  ND-144    bl:70    ln:161  
    630) Area:1 Z=60  ND-145    bl:66    ln:134  
    631) Area:1 Z=60  ND-146    bl:72    ln:160  
    632) Area:1 Z=60  ND-147    bl:15    ln:21   
    633) Area:1 Z=60  ND-148    bl:64    ln:143  
    634) Area:1 Z=60  ND-150    bl:60    ln:126  
    635) Area:1 Z=60  ND-CMP    bl:1     ln:2    
    636) Area:1 Z=61  PM-0      bl:1     ln:1    
    637) Area:1 Z=61  PM-145    bl:2     ln:2    
    638) Area:1 Z=61  PM-146    bl:2     ln:5    
    639) Area:1 Z=61  PM-147    bl:63    ln:155  
    640) Area:1 Z=61  PM-148    bl:18    ln:46   
    641) Area:1 Z=61  PM-148-M1 bl:13    ln:27   
    642) Area:1 Z=61  PM-149    bl:4     ln:9    
    643) Area:1 Z=61  PM-151    bl:5     ln:10   
    644) Area:1 Z=62  SM-0      bl:80    ln:203  
    645) Area:1 Z=62  SM-143    bl:1     ln:1    
    646) Area:1 Z=62  SM-144    bl:67    ln:155  
    647) Area:1 Z=62  SM-145    bl:7     ln:12   
    648) Area:1 Z=62  SM-146    bl:2     ln:6    
    649) Area:1 Z=62  SM-147    bl:79    ln:185  
    650) Area:1 Z=62  SM-148    bl:50    ln:109  
    651) Area:1 Z=62  SM-149    bl:102   ln:244  
    652) Area:1 Z=62  SM-150    bl:80    ln:183  
    653) Area:1 Z=62  SM-151    bl:42    ln:78   
    654) Area:1 Z=62  SM-152    bl:129   ln:317  
    655) Area:1 Z=62  SM-153    bl:6     ln:12   
    656) Area:1 Z=62  SM-154    bl:95    ln:252  
    657) Area:1 Z=62  SM-155    bl:2     ln:3    
    658) Area:1 Z=62  SM-156    bl:1     ln:1    
    659) Area:1 Z=62  SM-CMP    bl:2     ln:2    
    660) Area:1 Z=63  EU-0      bl:72    ln:141  
    661) Area:1 Z=63  EU-148    bl:1     ln:1    
    662) Area:1 Z=63  EU-149    bl:1     ln:1    
    663) Area:1 Z=63  EU-150    bl:1     ln:1    
    664) Area:1 Z=63  EU-151    bl:137   ln:322  
    665) Area:1 Z=63  EU-152    bl:14    ln:23   
    666) Area:1 Z=63  EU-152-M1 bl:1     ln:2    
    667) Area:1 Z=63  EU-153    bl:118   ln:270  
    668) Area:1 Z=63  EU-154    bl:19    ln:28   
    669) Area:1 Z=63  EU-155    bl:14    ln:20   
    670) Area:1 Z=63  EU-156    bl:2     ln:5    
    671) Area:1 Z=63  EU-157    bl:3     ln:6    
    672) Area:1 Z=64  GD-0      bl:108   ln:278  
    673) Area:1 Z=64  GD-148    bl:11    ln:22   
    674) Area:1 Z=64  GD-150    bl:2     ln:2    
    675) Area:1 Z=64  GD-152    bl:34    ln:70   
    676) Area:1 Z=64  GD-153    bl:7     ln:9    
    677) Area:1 Z=64  GD-154    bl:65    ln:150  
    678) Area:1 Z=64  GD-155    bl:94    ln:219  
    679) Area:1 Z=64  GD-156    bl:68    ln:137  
    680) Area:1 Z=64  GD-157    bl:102   ln:242  
    681) Area:1 Z=64  GD-158    bl:85    ln:191  
    682) Area:1 Z=64  GD-159    bl:4     ln:5    
    683) Area:1 Z=64  GD-160    bl:84    ln:189  
    684) Area:1 Z=64  GD-161    bl:3     ln:4    
    685) Area:1 Z=65  TB-0      bl:1     ln:1    
    686) Area:1 Z=65  TB-159    bl:140   ln:312  
    687) Area:1 Z=65  TB-160    bl:7     ln:12   
    688) Area:1 Z=65  TB-161    bl:1     ln:1    
    689) Area:1 Z=65  TB-CMP    bl:4     ln:4    
    690) Area:1 Z=66  DY-0      bl:65    ln:130  
    691) Area:1 Z=66  DY-156    bl:19    ln:27   
    692) Area:1 Z=66  DY-157    bl:1     ln:1    
    693) Area:1 Z=66  DY-158    bl:19    ln:25   
    694) Area:1 Z=66  DY-159    bl:2     ln:3    
    695) Area:1 Z=66  DY-160    bl:53    ln:100  
    696) Area:1 Z=66  DY-161    bl:68    ln:150  
    697) Area:1 Z=66  DY-162    bl:92    ln:190  
    698) Area:1 Z=66  DY-163    bl:78    ln:181  
    699) Area:1 Z=66  DY-164    bl:95    ln:218  
    700) Area:1 Z=66  DY-165    bl:3     ln:5    
    701) Area:1 Z=66  DY-165-M1 bl:2     ln:4    
    702) Area:1 Z=66  DY-CMP    bl:1     ln:1    
    703) Area:1 Z=67  HO-0      bl:1     ln:1    
    704) Area:1 Z=67  HO-165    bl:217   ln:544  
    705) Area:1 Z=67  HO-166    bl:6     ln:7    
    706) Area:1 Z=67  HO-166-M1 bl:4     ln:7    
    707) Area:1 Z=67  HO-167    bl:1     ln:1    
    708) Area:1 Z=68  ER-0      bl:86    ln:184  
    709) Area:1 Z=68  ER-162    bl:17    ln:28   
    710) Area:1 Z=68  ER-163    bl:1     ln:1    
    711) Area:1 Z=68  ER-164    bl:27    ln:61   
    712) Area:1 Z=68  ER-165    bl:1     ln:1    
    713) Area:1 Z=68  ER-166    bl:52    ln:129  
    714) Area:1 Z=68  ER-167    bl:77    ln:190  
    715) Area:1 Z=68  ER-168    bl:50    ln:126  
    716) Area:1 Z=68  ER-169    bl:2     ln:2    
    717) Area:1 Z=68  ER-170    bl:40    ln:94   
    718) Area:1 Z=68  ER-171    bl:2     ln:3    
    719) Area:1 Z=69  TM-0      bl:1     ln:1    
    720) Area:1 Z=69  TM-167    bl:1     ln:1    
    721) Area:1 Z=69  TM-168    bl:4     ln:4    
    722) Area:1 Z=69  TM-169    bl:158   ln:393  
    723) Area:1 Z=69  TM-170    bl:14    ln:27   
    724) Area:1 Z=69  TM-171    bl:12    ln:26   
    725) Area:1 Z=70  YB-0      bl:49    ln:98   
    726) Area:1 Z=70  YB-168    bl:25    ln:52   
    727) Area:1 Z=70  YB-169    bl:4     ln:7    
    728) Area:1 Z=70  YB-170    bl:35    ln:79   
    729) Area:1 Z=70  YB-171    bl:52    ln:119  
    730) Area:1 Z=70  YB-172    bl:44    ln:104  
    731) Area:1 Z=70  YB-173    bl:57    ln:132  
    732) Area:1 Z=70  YB-174    bl:48    ln:107  
    733) Area:1 Z=70  YB-175    bl:1     ln:1    
    734) Area:1 Z=70  YB-176    bl:49    ln:122  
    735) Area:1 Z=70  YB-177    bl:1     ln:1    
    736) Area:1 Z=70  YB-CMP    bl:2     ln:2    
    737) Area:1 Z=71  LU-0      bl:47    ln:99   
    738) Area:1 Z=71  LU-173    bl:1     ln:1    
    739) Area:1 Z=71  LU-175    bl:81    ln:219  
    740) Area:1 Z=71  LU-176    bl:68    ln:131  
    741) Area:1 Z=71  LU-177    bl:3     ln:4    
    742) Area:1 Z=71  LU-177-M1 bl:1     ln:2    
    743) Area:1 Z=72  HF-0      bl:97    ln:259  
    744) Area:1 Z=72  HF-174    bl:29    ln:63   
    745) Area:1 Z=72  HF-175    bl:1     ln:1    
    746) Area:1 Z=72  HF-176    bl:55    ln:130  
    747) Area:1 Z=72  HF-177    bl:98    ln:232  
    748) Area:1 Z=72  HF-178    bl:77    ln:197  
    749) Area:1 Z=72  HF-178-M2 bl:2     ln:4    
    750) Area:1 Z=72  HF-179    bl:76    ln:177  
    751) Area:1 Z=72  HF-180    bl:78    ln:198  
    752) Area:1 Z=72  HF-180-M1 bl:1     ln:2    
    753) Area:1 Z=72  HF-181    bl:4     ln:6    
    754) Area:1 Z=73  TA-0      bl:115   ln:333  
    755) Area:1 Z=73  TA-179    bl:2     ln:4    
    756) Area:1 Z=73  TA-180    bl:17    ln:25   
    757) Area:1 Z=73  TA-180-M1 bl:14    ln:39   
    758) Area:1 Z=73  TA-181    bl:438   ln:1076 
    759) Area:1 Z=73  TA-182    bl:20    ln:46   
    760) Area:1 Z=74  W-0       bl:261   ln:641  
    761) Area:1 Z=74  W-180     bl:21    ln:43   
    762) Area:1 Z=74  W-181     bl:2     ln:2    
    763) Area:1 Z=74  W-182     bl:161   ln:439  
    764) Area:1 Z=74  W-183     bl:125   ln:297  
    765) Area:1 Z=74  W-184     bl:204   ln:487  
    766) Area:1 Z=74  W-185     bl:4     ln:6    
    767) Area:1 Z=74  W-186     bl:227   ln:586  
    768) Area:1 Z=74  W-187     bl:12    ln:18   
    769) Area:1 Z=74  W-CMP     bl:1     ln:3    
    770) Area:1 Z=74  W-OXI     bl:1     ln:2    
    771) Area:1 Z=75  RE-0      bl:72    ln:186  
    772) Area:1 Z=75  RE-184    bl:2     ln:4    
    773) Area:1 Z=75  RE-185    bl:88    ln:210  
    774) Area:1 Z=75  RE-186    bl:2     ln:2    
    775) Area:1 Z=75  RE-187    bl:103   ln:229  
    776) Area:1 Z=75  RE-188    bl:4     ln:5    
    777) Area:1 Z=76  OS-0      bl:45    ln:110  
    778) Area:1 Z=76  OS-184    bl:10    ln:16   
    779) Area:1 Z=76  OS-186    bl:35    ln:100  
    780) Area:1 Z=76  OS-187    bl:49    ln:150  
    781) Area:1 Z=76  OS-188    bl:52    ln:126  
    782) Area:1 Z=76  OS-189    bl:64    ln:157  
    783) Area:1 Z=76  OS-190    bl:54    ln:141  
    784) Area:1 Z=76  OS-191    bl:3     ln:6    
    785) Area:1 Z=76  OS-192    bl:60    ln:165  
    786) Area:1 Z=76  OS-193    bl:2     ln:4    
    787) Area:1 Z=76  OS-194    bl:1     ln:1    
    788) Area:1 Z=77  IR-0      bl:65    ln:134  
    789) Area:1 Z=77  IR-191    bl:78    ln:176  
    790) Area:1 Z=77  IR-192    bl:5     ln:7    
    791) Area:1 Z=77  IR-193    bl:68    ln:145  
    792) Area:1 Z=77  IR-194    bl:3     ln:4    
    793) Area:1 Z=77  IR-195    bl:1     ln:1    
    794) Area:1 Z=78  PT-0      bl:98    ln:242  
    795) Area:1 Z=78  PT-190    bl:12    ln:19   
    796) Area:1 Z=78  PT-192    bl:21    ln:38   
    797) Area:1 Z=78  PT-193    bl:2     ln:2    
    798) Area:1 Z=78  PT-194    bl:54    ln:130  
    799) Area:1 Z=78  PT-195    bl:54    ln:114  
    800) Area:1 Z=78  PT-196    bl:74    ln:154  
    801) Area:1 Z=78  PT-198    bl:59    ln:125  
    802) Area:1 Z=78  PT-199    bl:2     ln:3    
    803) Area:1 Z=79  AU-0      bl:1     ln:1    
    804) Area:1 Z=79  AU-196    bl:1     ln:1    
    805) Area:1 Z=79  AU-197    bl:744   ln:1898 
    806) Area:1 Z=79  AU-198    bl:11    ln:25   
    807) Area:1 Z=79  AU-199    bl:2     ln:3    
    808) Area:1 Z=80  HG-0      bl:126   ln:289  
    809) Area:1 Z=80  HG-194    bl:2     ln:6    
    810) Area:1 Z=80  HG-196    bl:30    ln:57   
    811) Area:1 Z=80  HG-197    bl:1     ln:1    
    812) Area:1 Z=80  HG-198    bl:47    ln:102  
    813) Area:1 Z=80  HG-199    bl:64    ln:153  
    814) Area:1 Z=80  HG-200    bl:38    ln:77   
    815) Area:1 Z=80  HG-201    bl:39    ln:79   
    816) Area:1 Z=80  HG-202    bl:45    ln:97   
    817) Area:1 Z=80  HG-203    bl:1     ln:1    
    818) Area:1 Z=80  HG-204    bl:25    ln:57   
    819) Area:1 Z=80  HG-206    bl:1     ln:2    
    820) Area:1 Z=80  HG-CMP    bl:1     ln:1    
    821) Area:1 Z=81  TL-0      bl:89    ln:232  
    822) Area:1 Z=81  TL-202    bl:2     ln:2    
    823) Area:1 Z=81  TL-203    bl:105   ln:248  
    824) Area:1 Z=81  TL-204    bl:12    ln:23   
    825) Area:1 Z=81  TL-205    bl:79    ln:218  
    826) Area:1 Z=81  TL-206    bl:1     ln:1    
    827) Area:1 Z=82  PB-0      bl:559   ln:1336 
    828) Area:1 Z=82  PB-203    bl:1     ln:1    
    829) Area:1 Z=82  PB-204    bl:90    ln:263  
    830) Area:1 Z=82  PB-205    bl:4     ln:5    
    831) Area:1 Z=82  PB-206    bl:233   ln:607  
    832) Area:1 Z=82  PB-207    bl:175   ln:485  
    833) Area:1 Z=82  PB-208    bl:557   ln:1355 
    834) Area:1 Z=82  PB-209    bl:2     ln:2    
    835) Area:1 Z=82  PB-210    bl:1     ln:2    
    836) Area:1 Z=82  PB-CMP    bl:2     ln:2    
    837) Area:1 Z=83  BI-0      bl:1     ln:1    
    838) Area:1 Z=83  BI-204    bl:1     ln:1    
    839) Area:1 Z=83  BI-205    bl:1     ln:1    
    840) Area:1 Z=83  BI-206    bl:2     ln:2    
    841) Area:1 Z=83  BI-207    bl:1     ln:1    
    842) Area:1 Z=83  BI-208    bl:4     ln:4    
    843) Area:1 Z=83  BI-209    bl:651   ln:1620 
    844) Area:1 Z=83  BI-210    bl:7     ln:9    
    845) Area:1 Z=83  BI-210-M1 bl:5     ln:10   
    846) Area:1 Z=84  PO-0      bl:1     ln:1    
    847) Area:1 Z=84  PO-210    bl:11    ln:15   
    848) Area:1 Z=85  AT-0      bl:1     ln:1    
    849) Area:1 Z=85  AT-212    bl:2     ln:2    
    850) Area:1 Z=86  RN-0      bl:1     ln:1    
    851) Area:1 Z=86  RN-220    bl:1     ln:2    
    852) Area:1 Z=86  RN-222    bl:3     ln:5    
    853) Area:1 Z=87  FR-0      bl:1     ln:1    
    854) Area:1 Z=88  RA-0      bl:1     ln:1    
    855) Area:1 Z=88  RA-214    bl:1     ln:2    
    856) Area:1 Z=88  RA-223    bl:4     ln:9    
    857) Area:1 Z=88  RA-224    bl:1     ln:2    
    858) Area:1 Z=88  RA-225    bl:1     ln:3    
    859) Area:1 Z=88  RA-226    bl:48    ln:102  
    860) Area:1 Z=88  RA-228    bl:4     ln:9    
    861) Area:1 Z=89  AC-0      bl:1     ln:1    
    862) Area:1 Z=89  AC-227    bl:10    ln:22   
    863) Area:1 Z=90  TH-0      bl:1     ln:1    
    864) Area:1 Z=90  TH-226    bl:1     ln:1    
    865) Area:1 Z=90  TH-227    bl:10    ln:13   
    866) Area:1 Z=90  TH-228    bl:9     ln:21   
    867) Area:1 Z=90  TH-229    bl:55    ln:120  
    868) Area:1 Z=90  TH-230    bl:76    ln:172  
    869) Area:1 Z=90  TH-231    bl:10    ln:16   
    870) Area:1 Z=90  TH-232    bl:836   ln:2238 
    871) Area:1 Z=90  TH-233    bl:20    ln:37   
    872) Area:1 Z=90  TH-234    bl:5     ln:7    
    873) Area:1 Z=90  TH-236    bl:1     ln:1    
    874) Area:1 Z=90  TH-CMP    bl:1     ln:3    
    875) Area:1 Z=91  PA-0      bl:1     ln:1    
    876) Area:1 Z=91  PA-229    bl:2     ln:6    
    877) Area:1 Z=91  PA-230    bl:5     ln:11   
    878) Area:1 Z=91  PA-231    bl:70    ln:178  
    879) Area:1 Z=91  PA-232    bl:17    ln:37   
    880) Area:1 Z=91  PA-233    bl:45    ln:120  
    881) Area:1 Z=91  PA-234    bl:3     ln:4    
    882) Area:1 Z=91  PA-234-M1 bl:1     ln:2    
    883) Area:1 Z=91  PA-235    bl:1     ln:1    
    884) Area:1 Z=91  PA-236    bl:1     ln:1    
    885) Area:1 Z=91  PA-237    bl:1     ln:1    
    886) Area:1 Z=91  PA-238    bl:2     ln:2    
    887) Area:1 Z=91  PA-239    bl:2     ln:2    
    888) Area:1 Z=91  PA-240    bl:2     ln:2    
    889) Area:1 Z=91  PA-241    bl:2     ln:2    
    890) Area:1 Z=91  PA-242    bl:2     ln:2    
    891) Area:1 Z=91  PA-243    bl:2     ln:2    
    892) Area:1 Z=91  PA-244    bl:2     ln:2    
    893) Area:1 Z=91  PA-245    bl:2     ln:2    
    894) Area:1 Z=91  PA-246    bl:2     ln:2    
    895) Area:1 Z=91  PA-247    bl:2     ln:2    
    896) Area:1 Z=91  PA-248    bl:2     ln:2    
    897) Area:1 Z=91  PA-249    bl:2     ln:2    
    898) Area:1 Z=91  PA-250    bl:2     ln:2    
    899) Area:1 Z=91  PA-251    bl:2     ln:2    
    900) Area:1 Z=91  PA-252    bl:2     ln:2    
    901) Area:1 Z=91  PA-253    bl:2     ln:2    
    902) Area:1 Z=91  PA-254    bl:2     ln:2    
    903) Area:1 Z=91  PA-255    bl:2     ln:2    
    904) Area:1 Z=91  PA-256    bl:2     ln:2    
    905) Area:1 Z=91  PA-257    bl:2     ln:2    
    906) Area:1 Z=91  PA-258    bl:1     ln:1    
    907) Area:1 Z=91  PA-259    bl:1     ln:1    
    908) Area:1 Z=91  PA-260    bl:1     ln:1    
    909) Area:1 Z=91  PA-261    bl:1     ln:1    
    910) Area:1 Z=91  PA-262    bl:1     ln:1    
    911) Area:1 Z=91  PA-263    bl:1     ln:1    
    912) Area:1 Z=91  PA-264    bl:1     ln:1    
    913) Area:1 Z=92  U-0       bl:255   ln:547  
    914) Area:1 Z=92  U-230     bl:5     ln:12   
    915) Area:1 Z=92  U-231     bl:4     ln:12   
    916) Area:1 Z=92  U-232     bl:58    ln:133  
    917) Area:1 Z=92  U-233     bl:819   ln:1943 
    918) Area:1 Z=92  U-234     bl:202   ln:403  
    919) Area:1 Z=92  U-235     bl:2059  ln:5026 
    920) Area:1 Z=92  U-235-M1  bl:2     ln:3    
    921) Area:1 Z=92  U-236     bl:268   ln:565  
    922) Area:1 Z=92  U-236-L   bl:2     ln:4    
    923) Area:1 Z=92  U-237     bl:54    ln:84   
    924) Area:1 Z=92  U-238     bl:1494  ln:3760 
    925) Area:1 Z=92  U-239     bl:33    ln:55   
    926) Area:1 Z=92  U-240     bl:13    ln:15   
    927) Area:1 Z=92  U-241     bl:6     ln:6    
    928) Area:1 Z=92  U-242     bl:6     ln:6    
    929) Area:1 Z=92  U-243     bl:6     ln:6    
    930) Area:1 Z=92  U-244     bl:6     ln:6    
    931) Area:1 Z=92  U-245     bl:6     ln:6    
    932) Area:1 Z=92  U-246     bl:6     ln:6    
    933) Area:1 Z=92  U-247     bl:6     ln:6    
    934) Area:1 Z=92  U-248     bl:6     ln:6    
    935) Area:1 Z=92  U-249     bl:7     ln:7    
    936) Area:1 Z=92  U-250     bl:5     ln:5    
    937) Area:1 Z=92  U-251     bl:6     ln:6    
    938) Area:1 Z=92  U-252     bl:5     ln:5    
    939) Area:1 Z=92  U-253     bl:5     ln:5    
    940) Area:1 Z=92  U-254     bl:4     ln:4    
    941) Area:1 Z=92  U-255     bl:4     ln:4    
    942) Area:1 Z=92  U-256     bl:4     ln:4    
    943) Area:1 Z=92  U-257     bl:4     ln:4    
    944) Area:1 Z=92  U-258     bl:1     ln:1    
    945) Area:1 Z=92  U-259     bl:1     ln:1    
    946) Area:1 Z=92  U-260     bl:1     ln:1    
    947) Area:1 Z=92  U-261     bl:1     ln:1    
    948) Area:1 Z=92  U-262     bl:1     ln:1    
    949) Area:1 Z=92  U-263     bl:1     ln:1    
    950) Area:1 Z=92  U-264     bl:1     ln:1    
    951) Area:1 Z=92  U-CMP     bl:15    ln:31   
    952) Area:1 Z=92  U-OXI     bl:29    ln:57   
    953) Area:1 Z=93  NP-0      bl:1     ln:1    
    954) Area:1 Z=93  NP-231    bl:1     ln:1    
