CINDA BACKUP   BCK00420241224 113913  42218
     55) Area:4 Z=8   O-16      bl:256   ln:717  
     56) Area:4 Z=8   O-17      bl:19    ln:43   
     57) Area:4 Z=8   O-18      bl:15    ln:39   
     58) Area:4 Z=8   O-CMP     bl:1     ln:2    
     59) Area:4 Z=9   F-19      bl:104   ln:299  
     60) Area:4 Z=9   F-CMP     bl:2     ln:5    
     61) Area:4 Z=10  NE-0      bl:5     ln:10   
     62) Area:4 Z=10  NE-20     bl:34    ln:103  
     63) Area:4 Z=10  NE-21     bl:4     ln:12   
     64) Area:4 Z=10  NE-22     bl:16    ln:43   
     65) Area:4 Z=11  NA-22     bl:8     ln:18   
     66) Area:4 Z=11  NA-23     bl:174   ln:489  
     67) Area:4 Z=11  NA-24     bl:1     ln:2    
     68) Area:4 Z=11  NA-CMP    bl:1     ln:1    
     69) Area:4 Z=12  MG-0      bl:111   ln:315  
     70) Area:4 Z=12  MG-24     bl:135   ln:399  
     71) Area:4 Z=12  MG-25     bl:37    ln:97   
     72) Area:4 Z=12  MG-26     bl:54    ln:136  
     73) Area:4 Z=12  MG-27     bl:4     ln:12   
     74) Area:4 Z=12  MG-CMP    bl:1     ln:1    
     75) Area:4 Z=13  AL-26     bl:1     ln:1    
     76) Area:4 Z=13  AL-27     bl:487   ln:1464 
     77) Area:4 Z=13  AL-28     bl:5     ln:15   
     78) Area:4 Z=13  AL-CMP    bl:4     ln:7    
     79) Area:4 Z=13  AL-OXI    bl:6     ln:18   
     80) Area:4 Z=14  SI-0      bl:94    ln:231  
     81) Area:4 Z=14  SI-28     bl:180   ln:522  
     82) Area:4 Z=14  SI-29     bl:25    ln:72   
     83) Area:4 Z=14  SI-30     bl:35    ln:94   
     84) Area:4 Z=14  SI-31     bl:1     ln:3    
     85) Area:4 Z=14  SI-OXI    bl:2     ln:3    
     86) Area:4 Z=15  P-31      bl:98    ln:271  
     87) Area:4 Z=15  P-32      bl:1     ln:1    
     88) Area:4 Z=16  S-0       bl:80    ln:192  
     89) Area:4 Z=16  S-32      bl:98    ln:266  
     90) Area:4 Z=16  S-33      bl:11    ln:17   
     91) Area:4 Z=16  S-34      bl:37    ln:106  
     92) Area:4 Z=16  S-35      bl:2     ln:5    
     93) Area:4 Z=16  S-36      bl:13    ln:30   
     94) Area:4 Z=17  CL-0      bl:54    ln:128  
     95) Area:4 Z=17  CL-35     bl:87    ln:231  
     96) Area:4 Z=17  CL-36     bl:12    ln:27   
     97) Area:4 Z=17  CL-37     bl:28    ln:75   
     98) Area:4 Z=17  CL-38     bl:1     ln:2    
     99) Area:4 Z=18  AR-0      bl:15    ln:38   
    100) Area:4 Z=18  AR-36     bl:21    ln:71   
    101) Area:4 Z=18  AR-37     bl:1     ln:1    
    102) Area:4 Z=18  AR-38     bl:4     ln:5    
    103) Area:4 Z=18  AR-39     bl:1     ln:3    
    104) Area:4 Z=18  AR-40     bl:32    ln:93   
    105) Area:4 Z=18  AR-41     bl:1     ln:2    
    106) Area:4 Z=19  K-0       bl:38    ln:79   
    107) Area:4 Z=19  K-39      bl:56    ln:132  
    108) Area:4 Z=19  K-40      bl:6     ln:9    
    109) Area:4 Z=19  K-41      bl:35    ln:123  
    110) Area:4 Z=19  K-42      bl:1     ln:2    
    111) Area:4 Z=19  K-CMP     bl:1     ln:3    
    112) Area:4 Z=20  CA-0      bl:58    ln:118  
    113) Area:4 Z=20  CA-36     bl:1     ln:2    
    114) Area:4 Z=20  CA-38     bl:1     ln:2    
    115) Area:4 Z=20  CA-40     bl:96    ln:249  
    116) Area:4 Z=20  CA-41     bl:6     ln:8    
    117) Area:4 Z=20  CA-42     bl:26    ln:78   
    118) Area:4 Z=20  CA-43     bl:15    ln:62   
    119) Area:4 Z=20  CA-44     bl:46    ln:145  
    120) Area:4 Z=20  CA-45     bl:3     ln:5    
    121) Area:4 Z=20  CA-46     bl:8     ln:9    
    122) Area:4 Z=20  CA-48     bl:24    ln:60   
    123) Area:4 Z=20  CA-49     bl:1     ln:2    
    124) Area:4 Z=21  SC-44     bl:1     ln:3    
    125) Area:4 Z=21  SC-45     bl:108   ln:337  
    126) Area:4 Z=21  SC-46     bl:7     ln:22   
    127) Area:4 Z=22  TI-0      bl:148   ln:433  
    128) Area:4 Z=22  TI-44     bl:2     ln:3    
    129) Area:4 Z=22  TI-46     bl:69    ln:215  
    130) Area:4 Z=22  TI-47     bl:46    ln:171  
    131) Area:4 Z=22  TI-48     bl:139   ln:433  
    132) Area:4 Z=22  TI-49     bl:38    ln:139  
    133) Area:4 Z=22  TI-50     bl:44    ln:116  
    134) Area:4 Z=22  TI-51     bl:2     ln:3    
    135) Area:4 Z=23  V-0       bl:17    ln:69   
    136) Area:4 Z=23  V-47      bl:1     ln:4    
    137) Area:4 Z=23  V-48      bl:2     ln:5    
    138) Area:4 Z=23  V-49      bl:3     ln:6    
    139) Area:4 Z=23  V-50      bl:40    ln:95   
    140) Area:4 Z=23  V-51      bl:220   ln:672  
    141) Area:4 Z=23  V-52      bl:3     ln:7    
    142) Area:4 Z=23  V-CMP     bl:1     ln:2    
    143) Area:4 Z=24  CR-0      bl:164   ln:469  
    144) Area:4 Z=24  CR-48     bl:2     ln:3    
    145) Area:4 Z=24  CR-50     bl:114   ln:389  
    146) Area:4 Z=24  CR-51     bl:4     ln:6    
    147) Area:4 Z=24  CR-52     bl:240   ln:693  
    148) Area:4 Z=24  CR-53     bl:84    ln:231  
    149) Area:4 Z=24  CR-54     bl:89    ln:271  
    150) Area:4 Z=24  CR-55     bl:3     ln:5    
    151) Area:4 Z=24  CR-59     bl:1     ln:1    
    152) Area:4 Z=25  MN-52     bl:2     ln:6    
    153) Area:4 Z=25  MN-53     bl:3     ln:8    
    154) Area:4 Z=25  MN-54     bl:8     ln:20   
    155) Area:4 Z=25  MN-55     bl:191   ln:562  
    156) Area:4 Z=25  MN-56     bl:7     ln:19   
    157) Area:4 Z=25  MN-CMP    bl:2     ln:4    
    158) Area:4 Z=26  FE-0      bl:371   ln:1015 
    159) Area:4 Z=26  FE-52     bl:1     ln:1    
    160) Area:4 Z=26  FE-54     bl:217   ln:611  
    161) Area:4 Z=26  FE-55     bl:11    ln:19   
    162) Area:4 Z=26  FE-56     bl:412   ln:1127 
    163) Area:4 Z=26  FE-57     bl:85    ln:255  
    164) Area:4 Z=26  FE-58     bl:86    ln:239  
    165) Area:4 Z=26  FE-59     bl:3     ln:4    
    166) Area:4 Z=26  FE-CMP    bl:15    ln:27   
    167) Area:4 Z=27  CO-55     bl:1     ln:1    
    168) Area:4 Z=27  CO-56     bl:3     ln:12   
    169) Area:4 Z=27  CO-57     bl:4     ln:15   
    170) Area:4 Z=27  CO-58     bl:9     ln:26   
    171) Area:4 Z=27  CO-58-M1  bl:2     ln:9    
    172) Area:4 Z=27  CO-59     bl:358   ln:1053 
    173) Area:4 Z=27  CO-60     bl:9     ln:34   
    174) Area:4 Z=28  NI-0      bl:234   ln:655  
    175) Area:4 Z=28  NI-56     bl:6     ln:9    
    176) Area:4 Z=28  NI-57     bl:1     ln:1    
    177) Area:4 Z=28  NI-58     bl:397   ln:1183 
    178) Area:4 Z=28  NI-59     bl:13    ln:16   
    179) Area:4 Z=28  NI-60     bl:271   ln:784  
    180) Area:4 Z=28  NI-61     bl:61    ln:149  
    181) Area:4 Z=28  NI-62     bl:191   ln:609  
    182) Area:4 Z=28  NI-63     bl:4     ln:5    
    183) Area:4 Z=28  NI-64     bl:150   ln:442  
    184) Area:4 Z=28  NI-65     bl:3     ln:5    
    185) Area:4 Z=28  NI-68     bl:1     ln:1    
    186) Area:4 Z=28  NI-CMP    bl:2     ln:4    
    187) Area:4 Z=29  CU-0      bl:322   ln:948  
    188) Area:4 Z=29  CU-62     bl:1     ln:5    
    189) Area:4 Z=29  CU-63     bl:165   ln:480  
    190) Area:4 Z=29  CU-64     bl:6     ln:13   
    191) Area:4 Z=29  CU-65     bl:150   ln:468  
    192) Area:4 Z=29  CU-66     bl:1     ln:2    
    193) Area:4 Z=29  CU-67     bl:1     ln:1    
    194) Area:4 Z=29  CU-CMP    bl:1     ln:1    
    195) Area:4 Z=30  ZN-0      bl:154   ln:434  
    196) Area:4 Z=30  ZN-63     bl:1     ln:1    
    197) Area:4 Z=30  ZN-64     bl:145   ln:484  
    198) Area:4 Z=30  ZN-65     bl:10    ln:15   
    199) Area:4 Z=30  ZN-66     bl:110   ln:378  
    200) Area:4 Z=30  ZN-67     bl:70    ln:231  
    201) Area:4 Z=30  ZN-68     bl:117   ln:392  
    202) Area:4 Z=30  ZN-69     bl:3     ln:6    
    203) Area:4 Z=30  ZN-70     bl:44    ln:143  
    204) Area:4 Z=30  ZN-71     bl:1     ln:2    
    205) Area:4 Z=31  GA-0      bl:32    ln:80   
    206) Area:4 Z=31  GA-67     bl:1     ln:1    
    207) Area:4 Z=31  GA-69     bl:64    ln:254  
    208) Area:4 Z=31  GA-70     bl:2     ln:6    
    209) Area:4 Z=31  GA-71     bl:50    ln:176  
    210) Area:4 Z=31  GA-72     bl:3     ln:7    
    211) Area:4 Z=32  GE-0      bl:57    ln:153  
    212) Area:4 Z=32  GE-68     bl:1     ln:2    
    213) Area:4 Z=32  GE-69     bl:1     ln:1    
    214) Area:4 Z=32  GE-70     bl:98    ln:266  
    215) Area:4 Z=32  GE-71     bl:6     ln:12   
    216) Area:4 Z=32  GE-72     bl:87    ln:259  
    217) Area:4 Z=32  GE-73     bl:43    ln:146  
    218) Area:4 Z=32  GE-74     bl:98    ln:275  
    219) Area:4 Z=32  GE-75     bl:3     ln:9    
    220) Area:4 Z=32  GE-76     bl:75    ln:223  
    221) Area:4 Z=32  GE-77     bl:3     ln:9    
    222) Area:4 Z=32  GE-78     bl:2     ln:3    
    223) Area:4 Z=33  AS-71     bl:2     ln:2    
    224) Area:4 Z=33  AS-72     bl:1     ln:1    
    225) Area:4 Z=33  AS-73     bl:1     ln:1    
    226) Area:4 Z=33  AS-74     bl:1     ln:1    
    227) Area:4 Z=33  AS-75     bl:93    ln:264  
    228) Area:4 Z=33  AS-76     bl:2     ln:3    
    229) Area:4 Z=33  AS-77     bl:2     ln:2    
    230) Area:4 Z=34  SE-0      bl:61    ln:167  
    231) Area:4 Z=34  SE-72     bl:2     ln:3    
    232) Area:4 Z=34  SE-73     bl:1     ln:3    
    233) Area:4 Z=34  SE-74     bl:60    ln:169  
    234) Area:4 Z=34  SE-75     bl:4     ln:10   
    235) Area:4 Z=34  SE-76     bl:107   ln:325  
    236) Area:4 Z=34  SE-77     bl:57    ln:203  
    237) Area:4 Z=34  SE-78     bl:119   ln:349  
    238) Area:4 Z=34  SE-79     bl:9     ln:17   
    239) Area:4 Z=34  SE-80     bl:146   ln:409  
    240) Area:4 Z=34  SE-81     bl:4     ln:9    
    241) Area:4 Z=34  SE-82     bl:107   ln:294  
    242) Area:4 Z=34  SE-83     bl:2     ln:3    
    243) Area:4 Z=34  SE-84     bl:1     ln:1    
    244) Area:4 Z=35  BR-0      bl:38    ln:89   
    245) Area:4 Z=35  BR-76     bl:1     ln:1    
    246) Area:4 Z=35  BR-79     bl:56    ln:185  
    247) Area:4 Z=35  BR-80     bl:2     ln:3    
    248) Area:4 Z=35  BR-81     bl:62    ln:176  
    249) Area:4 Z=35  BR-82     bl:2     ln:3    
    250) Area:4 Z=35  BR-83     bl:1     ln:1    
    251) Area:4 Z=35  BR-85     bl:1     ln:1    
    252) Area:4 Z=35  BR-87     bl:1     ln:1    
    253) Area:4 Z=36  KR-0      bl:7     ln:13   
    254) Area:4 Z=36  KR-78     bl:7     ln:10   
    255) Area:4 Z=36  KR-79     bl:3     ln:4    
    256) Area:4 Z=36  KR-80     bl:11    ln:22   
    257) Area:4 Z=36  KR-81     bl:3     ln:4    
    258) Area:4 Z=36  KR-82     bl:12    ln:22   
    259) Area:4 Z=36  KR-83     bl:11    ln:19   
    260) Area:4 Z=36  KR-84     bl:16    ln:24   
    261) Area:4 Z=36  KR-85     bl:7     ln:12   
    262) Area:4 Z=36  KR-86     bl:12    ln:18   
    263) Area:4 Z=36  KR-88     bl:1     ln:1    
    264) Area:4 Z=37  RB-0      bl:23    ln:56   
    265) Area:4 Z=37  RB-81     bl:1     ln:1    
    266) Area:4 Z=37  RB-83     bl:1     ln:1    
    267) Area:4 Z=37  RB-84     bl:1     ln:1    
    268) Area:4 Z=37  RB-85     bl:75    ln:227  
    269) Area:4 Z=37  RB-86     bl:6     ln:8    
    270) Area:4 Z=37  RB-87     bl:47    ln:112  
    271) Area:4 Z=37  RB-88     bl:2     ln:4    
    272) Area:4 Z=37  RB-89     bl:1     ln:1    
    273) Area:4 Z=37  RB-CMP    bl:1     ln:2    
    274) Area:4 Z=38  SR-0      bl:42    ln:114  
    275) Area:4 Z=38  SR-82     bl:2     ln:3    
    276) Area:4 Z=38  SR-83     bl:2     ln:2    
    277) Area:4 Z=38  SR-84     bl:35    ln:69   
    278) Area:4 Z=38  SR-85     bl:5     ln:8    
    279) Area:4 Z=38  SR-86     bl:62    ln:199  
    280) Area:4 Z=38  SR-87     bl:54    ln:173  
    281) Area:4 Z=38  SR-88     bl:79    ln:210  
    282) Area:4 Z=38  SR-89     bl:5     ln:6    
    283) Area:4 Z=38  SR-90     bl:20    ln:32   
    284) Area:4 Z=38  SR-92     bl:1     ln:1    
    285) Area:4 Z=38  SR-94     bl:1     ln:1    
    286) Area:4 Z=38  SR-96     bl:1     ln:1    
    287) Area:4 Z=39  Y-87      bl:2     ln:2    
    288) Area:4 Z=39  Y-88      bl:6     ln:16   
    289) Area:4 Z=39  Y-89      bl:201   ln:618  
    290) Area:4 Z=39  Y-90      bl:3     ln:4    
    291) Area:4 Z=39  Y-91      bl:2     ln:2    
    292) Area:4 Z=39  Y-93      bl:1     ln:1    
    293) Area:4 Z=40  ZR-0      bl:160   ln:468  
    294) Area:4 Z=40  ZR-88     bl:3     ln:6    
    295) Area:4 Z=40  ZR-89     bl:2     ln:2    
    296) Area:4 Z=40  ZR-90     bl:207   ln:655  
    297) Area:4 Z=40  ZR-91     bl:109   ln:312  
    298) Area:4 Z=40  ZR-92     bl:111   ln:277  
    299) Area:4 Z=40  ZR-93     bl:14    ln:20   
    300) Area:4 Z=40  ZR-94     bl:132   ln:381  
    301) Area:4 Z=40  ZR-95     bl:5     ln:6    
    302) Area:4 Z=40  ZR-96     bl:71    ln:181  
    303) Area:4 Z=40  ZR-97     bl:3     ln:4    
    304) Area:4 Z=40  ZR-98     bl:1     ln:1    
    305) Area:4 Z=40  ZR-HYD    bl:11    ln:15   
    306) Area:4 Z=41  NB-90     bl:2     ln:11   
    307) Area:4 Z=41  NB-91     bl:3     ln:5    
    308) Area:4 Z=41  NB-92     bl:4     ln:4    
    309) Area:4 Z=41  NB-93     bl:404   ln:1254 
    310) Area:4 Z=41  NB-94     bl:8     ln:10   
    311) Area:4 Z=41  NB-95     bl:5     ln:5    
    312) Area:4 Z=41  NB-97     bl:2     ln:2    
    313) Area:4 Z=42  MO-0      bl:183   ln:530  
    314) Area:4 Z=42  MO-100    bl:112   ln:265  
    315) Area:4 Z=42  MO-101    bl:2     ln:3    
    316) Area:4 Z=42  MO-92     bl:138   ln:414  
    317) Area:4 Z=42  MO-93     bl:3     ln:6    
    318) Area:4 Z=42  MO-94     bl:86    ln:239  
    319) Area:4 Z=42  MO-95     bl:88    ln:269  
    320) Area:4 Z=42  MO-96     bl:100   ln:254  
    321) Area:4 Z=42  MO-97     bl:63    ln:184  
    322) Area:4 Z=42  MO-98     bl:141   ln:350  
    323) Area:4 Z=42  MO-99     bl:3     ln:6    
    324) Area:4 Z=43  TC-100    bl:1     ln:2    
    325) Area:4 Z=43  TC-93     bl:1     ln:1    
    326) Area:4 Z=43  TC-96     bl:2     ln:3    
    327) Area:4 Z=43  TC-97     bl:5     ln:8    
    328) Area:4 Z=43  TC-98     bl:5     ln:9    
    329) Area:4 Z=43  TC-99     bl:53    ln:123  
    330) Area:4 Z=44  RU-0      bl:21    ln:49   
    331) Area:4 Z=44  RU-100    bl:19    ln:48   
    332) Area:4 Z=44  RU-101    bl:49    ln:111  
    333) Area:4 Z=44  RU-102    bl:52    ln:119  
    334) Area:4 Z=44  RU-103    bl:7     ln:17   
    335) Area:4 Z=44  RU-104    bl:35    ln:81   
    336) Area:4 Z=44  RU-105    bl:3     ln:4    
    337) Area:4 Z=44  RU-106    bl:8     ln:14   
    338) Area:4 Z=44  RU-92     bl:1     ln:1    
    339) Area:4 Z=44  RU-94     bl:1     ln:1    
    340) Area:4 Z=44  RU-96     bl:16    ln:27   
    341) Area:4 Z=44  RU-97     bl:2     ln:2    
    342) Area:4 Z=44  RU-98     bl:9     ln:17   
    343) Area:4 Z=44  RU-99     bl:25    ln:60   
    344) Area:4 Z=45  RH-101    bl:2     ln:2    
    345) Area:4 Z=45  RH-102    bl:3     ln:5    
    346) Area:4 Z=45  RH-103    bl:177   ln:432  
    347) Area:4 Z=45  RH-104    bl:3     ln:5    
    348) Area:4 Z=45  RH-105    bl:4     ln:4    
    349) Area:4 Z=45  RH-106    bl:1     ln:1    
    350) Area:4 Z=45  RH-107    bl:1     ln:1    
    351) Area:4 Z=45  RH-97     bl:1     ln:1    
    352) Area:4 Z=45  RH-99     bl:2     ln:2    
    353) Area:4 Z=46  PD-0      bl:27    ln:69   
    354) Area:4 Z=46  PD-100    bl:3     ln:4    
    355) Area:4 Z=46  PD-102    bl:27    ln:65   
    356) Area:4 Z=46  PD-103    bl:3     ln:3    
    357) Area:4 Z=46  PD-104    bl:32    ln:76   
    358) Area:4 Z=46  PD-105    bl:49    ln:105  
    359) Area:4 Z=46  PD-106    bl:46    ln:103  
    360) Area:4 Z=46  PD-107    bl:19    ln:36   
    361) Area:4 Z=46  PD-108    bl:51    ln:104  
    362) Area:4 Z=46  PD-109    bl:3     ln:4    
    363) Area:4 Z=46  PD-110    bl:37    ln:84   
    364) Area:4 Z=46  PD-111    bl:2     ln:3    
    365) Area:4 Z=46  PD-98     bl:1     ln:1    
    366) Area:4 Z=47  AG-0      bl:105   ln:293  
    367) Area:4 Z=47  AG-103    bl:1     ln:1    
    368) Area:4 Z=47  AG-105    bl:2     ln:2    
    369) Area:4 Z=47  AG-107    bl:96    ln:257  
    370) Area:4 Z=47  AG-108    bl:14    ln:29   
    371) Area:4 Z=47  AG-109    bl:111   ln:300  
    372) Area:4 Z=47  AG-110    bl:9     ln:15   
    373) Area:4 Z=47  AG-110-M1 bl:5     ln:13   
    374) Area:4 Z=47  AG-111    bl:3     ln:3    
    375) Area:4 Z=47  AG-CMP    bl:4     ln:11   
    376) Area:4 Z=48  CD-0      bl:145   ln:421  
    377) Area:4 Z=48  CD-106    bl:73    ln:185  
    378) Area:4 Z=48  CD-107    bl:2     ln:3    
    379) Area:4 Z=48  CD-108    bl:68    ln:165  
    380) Area:4 Z=48  CD-109    bl:6     ln:12   
    381) Area:4 Z=48  CD-110    bl:100   ln:237  
    382) Area:4 Z=48  CD-111    bl:106   ln:243  
    383) Area:4 Z=48  CD-112    bl:121   ln:314  
    384) Area:4 Z=48  CD-113    bl:103   ln:226  
    385) Area:4 Z=48  CD-114    bl:122   ln:268  
    386) Area:4 Z=48  CD-115    bl:4     ln:6    
    387) Area:4 Z=48  CD-116    bl:119   ln:321  
    388) Area:4 Z=48  CD-117    bl:2     ln:3    
    389) Area:4 Z=48  CD-CMP    bl:4     ln:7    
    390) Area:4 Z=48  CD-OXI    bl:1     ln:3    
    391) Area:4 Z=49  IN-0      bl:83    ln:228  
    392) Area:4 Z=49  IN-107    bl:1     ln:1    
    393) Area:4 Z=49  IN-109    bl:1     ln:1    
    394) Area:4 Z=49  IN-111    bl:2     ln:2    
    395) Area:4 Z=49  IN-113    bl:86    ln:264  
    396) Area:4 Z=49  IN-114    bl:2     ln:5    
    397) Area:4 Z=49  IN-115    bl:270   ln:828  
    398) Area:4 Z=49  IN-116    bl:1     ln:2    
    399) Area:4 Z=49  IN-117    bl:1     ln:1    
    400) Area:4 Z=49  IN-119    bl:1     ln:1    
    401) Area:4 Z=49  IN-121    bl:1     ln:1    
    402) Area:4 Z=50  SN-0      bl:161   ln:462  
    403) Area:4 Z=50  SN-108    bl:1     ln:3    
    404) Area:4 Z=50  SN-112    bl:124   ln:333  
    405) Area:4 Z=50  SN-113    bl:12    ln:24   
    406) Area:4 Z=50  SN-114    bl:70    ln:173  
    407) Area:4 Z=50  SN-115    bl:32    ln:69   
    408) Area:4 Z=50  SN-116    bl:163   ln:432  
    409) Area:4 Z=50  SN-117    bl:168   ln:446  
    410) Area:4 Z=50  SN-118    bl:188   ln:525  
    411) Area:4 Z=50  SN-119    bl:81    ln:210  
    412) Area:4 Z=50  SN-120    bl:194   ln:523  
    413) Area:4 Z=50  SN-121    bl:7     ln:8    
    414) Area:4 Z=50  SN-122    bl:131   ln:362  
    415) Area:4 Z=50  SN-123    bl:5     ln:6    
    416) Area:4 Z=50  SN-124    bl:204   ln:604  
    417) Area:4 Z=50  SN-125    bl:3     ln:4    
    418) Area:4 Z=50  SN-126    bl:6     ln:9    
    419) Area:4 Z=51  SB-0      bl:121   ln:356  
    420) Area:4 Z=51  SB-115    bl:1     ln:1    
    421) Area:4 Z=51  SB-116    bl:1     ln:4    
    422) Area:4 Z=51  SB-117    bl:1     ln:1    
    423) Area:4 Z=51  SB-118    bl:1     ln:4    
    424) Area:4 Z=51  SB-119    bl:1     ln:1    
    425) Area:4 Z=51  SB-120    bl:2     ln:2    
    426) Area:4 Z=51  SB-121    bl:74    ln:198  
    427) Area:4 Z=51  SB-122    bl:3     ln:6    
    428) Area:4 Z=51  SB-123    bl:68    ln:181  
    429) Area:4 Z=51  SB-124    bl:6     ln:13   
    430) Area:4 Z=51  SB-125    bl:1     ln:1    
    431) Area:4 Z=52  TE-0      bl:61    ln:189  
    432) Area:4 Z=52  TE-118    bl:3     ln:4    
    433) Area:4 Z=52  TE-119    bl:2     ln:2    
    434) Area:4 Z=52  TE-120    bl:23    ln:63   
    435) Area:4 Z=52  TE-121    bl:3     ln:3    
    436) Area:4 Z=52  TE-122    bl:91    ln:262  
    437) Area:4 Z=52  TE-123    bl:69    ln:173  
    438) Area:4 Z=52  TE-124    bl:96    ln:237  
    439) Area:4 Z=52  TE-125    bl:36    ln:80   
    440) Area:4 Z=52  TE-126    bl:108   ln:281  
    441) Area:4 Z=52  TE-127    bl:2     ln:3    
    442) Area:4 Z=52  TE-128    bl:108   ln:300  
    443) Area:4 Z=52  TE-129    bl:4     ln:5    
    444) Area:4 Z=52  TE-130    bl:123   ln:327  
    445) Area:4 Z=52  TE-131    bl:3     ln:4    
    446) Area:4 Z=52  TE-132    bl:2     ln:2    
    447) Area:4 Z=53  I-119     bl:1     ln:1    
    448) Area:4 Z=53  I-123     bl:1     ln:1    
    449) Area:4 Z=53  I-124     bl:1     ln:1    
    450) Area:4 Z=53  I-125     bl:4     ln:4    
    451) Area:4 Z=53  I-126     bl:1     ln:1    
    452) Area:4 Z=53  I-127     bl:199   ln:518  
    453) Area:4 Z=53  I-128     bl:4     ln:5    
    454) Area:4 Z=53  I-129     bl:24    ln:46   
    455) Area:4 Z=53  I-130     bl:2     ln:3    
    456) Area:4 Z=53  I-131     bl:3     ln:3    
    457) Area:4 Z=53  I-135     bl:1     ln:1    
    458) Area:4 Z=53  I-CMP     bl:4     ln:8    
    459) Area:4 Z=54  XE-0      bl:8     ln:17   
    460) Area:4 Z=54  XE-124    bl:15    ln:25   
    461) Area:4 Z=54  XE-125    bl:1     ln:1    
    462) Area:4 Z=54  XE-126    bl:13    ln:19   
    463) Area:4 Z=54  XE-127    bl:2     ln:2    
    464) Area:4 Z=54  XE-128    bl:14    ln:22   
    465) Area:4 Z=54  XE-129    bl:34    ln:88   
    466) Area:4 Z=54  XE-130    bl:21    ln:34   
    467) Area:4 Z=54  XE-131    bl:31    ln:58   
    468) Area:4 Z=54  XE-132    bl:23    ln:33   
    469) Area:4 Z=54  XE-133    bl:3     ln:4    
    470) Area:4 Z=54  XE-134    bl:21    ln:32   
    471) Area:4 Z=54  XE-135    bl:8     ln:15   
    472) Area:4 Z=54  XE-136    bl:12    ln:20   
    473) Area:4 Z=55  CS-127    bl:1     ln:1    
    474) Area:4 Z=55  CS-129    bl:2     ln:2    
    475) Area:4 Z=55  CS-131    bl:2     ln:2    
    476) Area:4 Z=55  CS-132    bl:2     ln:3    
    477) Area:4 Z=55  CS-133    bl:155   ln:403  
    478) Area:4 Z=55  CS-134    bl:27    ln:63   
    479) Area:4 Z=55  CS-135    bl:25    ln:43   
