CINDA BACKUP   BCK00420241224 113913  42218
      1) Area:4 Z=0   NN-1      bl:8     ln:24   
      2) Area:4 Z=1   H-0       bl:1     ln:3    
      3) Area:4 Z=1   H-1       bl:123   ln:334  
      4) Area:4 Z=1   H-2       bl:196   ln:518  
      5) Area:4 Z=1   H-3       bl:84    ln:256  
      6) Area:4 Z=1   H-BNZ     bl:9     ln:28   
      7) Area:4 Z=1   H-CMP     bl:4     ln:7    
      8) Area:4 Z=1   H-CXX     bl:10    ln:27   
      9) Area:4 Z=1   H-D2O     bl:7     ln:15   
     10) Area:4 Z=1   H-DXX     bl:1     ln:1    
     11) Area:4 Z=1   H-MTH     bl:2     ln:3    
     12) Area:4 Z=1   H-PFN     bl:4     ln:8    
     13) Area:4 Z=1   H-PHL     bl:4     ln:11   
     14) Area:4 Z=1   H-PLE     bl:8     ln:15   
     15) Area:4 Z=1   H-TXX     bl:2     ln:2    
     16) Area:4 Z=1   H-WTR     bl:38    ln:81   
     17) Area:4 Z=2   HE-3      bl:87    ln:233  
     18) Area:4 Z=2   HE-4      bl:132   ln:374  
     19) Area:4 Z=2   HE-6      bl:2     ln:5    
     20) Area:4 Z=2   HE-8      bl:3     ln:8    
     21) Area:4 Z=3   LI-0      bl:36    ln:94   
     22) Area:4 Z=3   LI-11     bl:1     ln:2    
     23) Area:4 Z=3   LI-6      bl:252   ln:666  
     24) Area:4 Z=3   LI-7      bl:284   ln:852  
     25) Area:4 Z=3   LI-8      bl:1     ln:2    
     26) Area:4 Z=3   LI-9      bl:1     ln:2    
     27) Area:4 Z=3   LI-CMP    bl:7     ln:20   
     28) Area:4 Z=4   BE-10     bl:1     ln:2    
     29) Area:4 Z=4   BE-7      bl:7     ln:19   
     30) Area:4 Z=4   BE-9      bl:335   ln:964  
     31) Area:4 Z=4   BE-CMP    bl:1     ln:2    
     32) Area:4 Z=4   BE-OXI    bl:6     ln:11   
     33) Area:4 Z=5   B-0       bl:50    ln:114  
     34) Area:4 Z=5   B-10      bl:89    ln:268  
     35) Area:4 Z=5   B-11      bl:105   ln:297  
     36) Area:4 Z=5   B-7       bl:1     ln:2    
     37) Area:4 Z=5   B-8       bl:1     ln:2    
     38) Area:4 Z=5   B-9       bl:1     ln:2    
     39) Area:4 Z=5   B-CMP     bl:2     ln:5    
     40) Area:4 Z=6   C-0       bl:43    ln:107  
     41) Area:4 Z=6   C-12      bl:469   ln:1349 
     42) Area:4 Z=6   C-13      bl:72    ln:227  
     43) Area:4 Z=6   C-14      bl:23    ln:64   
     44) Area:4 Z=6   C-15      bl:1     ln:2    
     45) Area:4 Z=6   C-16      bl:1     ln:2    
     46) Area:4 Z=6   C-17      bl:1     ln:2    
     47) Area:4 Z=6   C-CMP     bl:1     ln:2    
     48) Area:4 Z=7   N-0       bl:10    ln:26   
     49) Area:4 Z=7   N-14      bl:218   ln:635  
     50) Area:4 Z=7   N-15      bl:33    ln:71   
     51) Area:4 Z=7   N-AIR     bl:6     ln:14   
     52) Area:4 Z=7   N-AMM     bl:3     ln:5    
     53) Area:4 Z=8   O-0       bl:14    ln:41   
     54) Area:4 Z=8   O-15      bl:3     ln:4    
