CINDA BACKUP   BCK00320241224  75636  38573
      1) Area:3 Z=1   H-0       bl:3     ln:7    
      2) Area:3 Z=1   H-1       bl:238   ln:532  
      3) Area:3 Z=1   H-2       bl:168   ln:382  
      4) Area:3 Z=1   H-3       bl:38    ln:69   
      5) Area:3 Z=1   H-ARM     bl:1     ln:2    
      6) Area:3 Z=1   H-BNZ     bl:15    ln:24   
      7) Area:3 Z=1   H-CMP     bl:14    ln:18   
      8) Area:3 Z=1   H-CXX     bl:63    ln:116  
      9) Area:3 Z=1   H-D2O     bl:16    ln:28   
     10) Area:3 Z=1   H-DXX     bl:4     ln:11   
     11) Area:3 Z=1   H-MTH     bl:21    ln:37   
     12) Area:3 Z=1   H-PHL     bl:5     ln:6    
     13) Area:3 Z=1   H-PLE     bl:23    ln:60   
     14) Area:3 Z=1   H-WTR     bl:40    ln:60   
     15) Area:3 Z=2   HE-3      bl:54    ln:109  
     16) Area:3 Z=2   HE-4      bl:58    ln:108  
     17) Area:3 Z=2   HE-6      bl:1     ln:3    
     18) Area:3 Z=2   HE-8      bl:2     ln:4    
     19) Area:3 Z=3   LI-0      bl:22    ln:45   
     20) Area:3 Z=3   LI-6      bl:212   ln:513  
     21) Area:3 Z=3   LI-7      bl:218   ln:566  
     22) Area:3 Z=3   LI-8      bl:7     ln:25   
     23) Area:3 Z=3   LI-CMP    bl:7     ln:11   
     24) Area:3 Z=4   BE-10     bl:6     ln:12   
     25) Area:3 Z=4   BE-11     bl:8     ln:20   
     26) Area:3 Z=4   BE-14     bl:1     ln:2    
     27) Area:3 Z=4   BE-7      bl:17    ln:40   
     28) Area:3 Z=4   BE-9      bl:332   ln:701  
     29) Area:3 Z=4   BE-OXI    bl:10    ln:10   
     30) Area:3 Z=5   B-0       bl:21    ln:62   
     31) Area:3 Z=5   B-10      bl:130   ln:326  
     32) Area:3 Z=5   B-11      bl:113   ln:245  
     33) Area:3 Z=5   B-CMP     bl:1     ln:1    
     34) Area:3 Z=6   C-0       bl:61    ln:153  
     35) Area:3 Z=6   C-11      bl:1     ln:3    
     36) Area:3 Z=6   C-12      bl:563   ln:1298 
     37) Area:3 Z=6   C-13      bl:76    ln:186  
     38) Area:3 Z=6   C-14      bl:9     ln:21   
     39) Area:3 Z=6   C-15      bl:2     ln:4    
     40) Area:3 Z=6   C-16      bl:8     ln:16   
     41) Area:3 Z=6   C-17      bl:1     ln:2    
     42) Area:3 Z=6   C-18      bl:1     ln:2    
     43) Area:3 Z=6   C-19      bl:2     ln:3    
     44) Area:3 Z=6   C-20      bl:2     ln:4    
     45) Area:3 Z=6   C-CMP     bl:10    ln:24   
     46) Area:3 Z=7   N-0       bl:12    ln:28   
     47) Area:3 Z=7   N-12      bl:1     ln:2    
     48) Area:3 Z=7   N-13      bl:5     ln:10   
     49) Area:3 Z=7   N-14      bl:120   ln:299  
     50) Area:3 Z=7   N-15      bl:50    ln:106  
     51) Area:3 Z=7   N-AIR     bl:1     ln:3    
     52) Area:3 Z=7   N-AMM     bl:21    ln:28   
     53) Area:3 Z=7   N-CMP     bl:1     ln:1    
     54) Area:3 Z=8   O-0       bl:9     ln:26   
     55) Area:3 Z=8   O-14      bl:2     ln:5    
     56) Area:3 Z=8   O-15      bl:1     ln:1    
     57) Area:3 Z=8   O-16      bl:211   ln:486  
     58) Area:3 Z=8   O-17      bl:28    ln:57   
     59) Area:3 Z=8   O-18      bl:28    ln:49   
     60) Area:3 Z=8   O-19      bl:1     ln:1    
