CINDA BACKUP   BCK00220241224 169865  72617
      1) Area:2 Z=0   NN-1      bl:22    ln:51   
      2) Area:2 Z=1   H-0       bl:1     ln:2    
      3) Area:2 Z=1   H-1       bl:1039  ln:2382 
      4) Area:2 Z=1   H-2       bl:724   ln:1730 
      5) Area:2 Z=1   H-3       bl:102   ln:217  
      6) Area:2 Z=1   H-BNZ     bl:22    ln:37   
      7) Area:2 Z=1   H-CMP     bl:10    ln:14   
      8) Area:2 Z=1   H-CXX     bl:55    ln:115  
      9) Area:2 Z=1   H-D2O     bl:67    ln:116  
     10) Area:2 Z=1   H-DXX     bl:14    ln:28   
     11) Area:2 Z=1   H-MTH     bl:13    ln:17   
     12) Area:2 Z=1   H-PFN     bl:1     ln:1    
     13) Area:2 Z=1   H-PHL     bl:16    ln:26   
     14) Area:2 Z=1   H-PLE     bl:134   ln:260  
     15) Area:2 Z=1   H-WTR     bl:110   ln:192  
     16) Area:2 Z=2   HE-0      bl:5     ln:12   
     17) Area:2 Z=2   HE-3      bl:228   ln:566  
     18) Area:2 Z=2   HE-4      bl:328   ln:749  
     19) Area:2 Z=2   HE-5      bl:1     ln:2    
     20) Area:2 Z=2   HE-6      bl:11    ln:28   
     21) Area:2 Z=2   HE-8      bl:12    ln:37   
     22) Area:2 Z=3   LI-0      bl:64    ln:159  
     23) Area:2 Z=3   LI-11     bl:3     ln:7    
     24) Area:2 Z=3   LI-5      bl:1     ln:2    
     25) Area:2 Z=3   LI-6      bl:542   ln:1459 
     26) Area:2 Z=3   LI-7      bl:513   ln:1283 
     27) Area:2 Z=3   LI-8      bl:8     ln:26   
     28) Area:2 Z=3   LI-9      bl:3     ln:5    
     29) Area:2 Z=3   LI-CMP    bl:4     ln:9    
     30) Area:2 Z=4   BE-10     bl:6     ln:10   
     31) Area:2 Z=4   BE-11     bl:5     ln:13   
     32) Area:2 Z=4   BE-12     bl:1     ln:2    
     33) Area:2 Z=4   BE-14     bl:5     ln:11   
     34) Area:2 Z=4   BE-7      bl:38    ln:84   
     35) Area:2 Z=4   BE-9      bl:931   ln:2247 
     36) Area:2 Z=4   BE-CMP    bl:4     ln:4    
     37) Area:2 Z=4   BE-OXI    bl:21    ln:33   
     38) Area:2 Z=5   B-0       bl:64    ln:155  
     39) Area:2 Z=5   B-10      bl:367   ln:965  
     40) Area:2 Z=5   B-11      bl:329   ln:791  
     41) Area:2 Z=5   B-12      bl:1     ln:4    
     42) Area:2 Z=5   B-13      bl:1     ln:2    
     43) Area:2 Z=5   B-14      bl:1     ln:2    
     44) Area:2 Z=5   B-15      bl:1     ln:2    
     45) Area:2 Z=5   B-17      bl:2     ln:5    
     46) Area:2 Z=5   B-8       bl:1     ln:3    
     47) Area:2 Z=5   B-CMP     bl:7     ln:20   
     48) Area:2 Z=6   C-0       bl:385   ln:1014 
     49) Area:2 Z=6   C-10      bl:2     ln:4    
     50) Area:2 Z=6   C-11      bl:9     ln:14   
     51) Area:2 Z=6   C-12      bl:2058  ln:5392 
     52) Area:2 Z=6   C-13      bl:218   ln:543  
     53) Area:2 Z=6   C-14      bl:32    ln:82   
     54) Area:2 Z=6   C-15      bl:2     ln:3    
     55) Area:2 Z=6   C-16      bl:3     ln:7    
     56) Area:2 Z=6   C-17      bl:1     ln:1    
     57) Area:2 Z=6   C-9       bl:1     ln:2    
     58) Area:2 Z=6   C-CMP     bl:14    ln:39   
     59) Area:2 Z=7   N-0       bl:38    ln:100  
     60) Area:2 Z=7   N-13      bl:11    ln:28   
     61) Area:2 Z=7   N-14      bl:563   ln:1449 
     62) Area:2 Z=7   N-15      bl:132   ln:277  
     63) Area:2 Z=7   N-16      bl:1     ln:1    
     64) Area:2 Z=7   N-17      bl:3     ln:6    
     65) Area:2 Z=7   N-18      bl:1     ln:1    
     66) Area:2 Z=7   N-19      bl:2     ln:5    
     67) Area:2 Z=7   N-21      bl:2     ln:5    
     68) Area:2 Z=7   N-AIR     bl:1     ln:2    
