CINDA BACKUP   BCK00220140625  88808  46254
      1) Area:2 Z=0   NN-1      bl:13    ln:28   
      2) Area:2 Z=1   H-1       bl:360   ln:622  
      3) Area:2 Z=1   H-2       bl:355   ln:668  
      4) Area:2 Z=1   H-3       bl:41    ln:62   
      5) Area:2 Z=1   H-BNZ     bl:20    ln:32   
      6) Area:2 Z=1   H-CMP     bl:9     ln:12   
      7) Area:2 Z=1   H-CXX     bl:37    ln:58   
      8) Area:2 Z=1   H-D2O     bl:55    ln:84   
      9) Area:2 Z=1   H-DXX     bl:9     ln:12   
     10) Area:2 Z=1   H-MTH     bl:13    ln:17   
     11) Area:2 Z=1   H-PFN     bl:1     ln:1    
     12) Area:2 Z=1   H-PHL     bl:15    ln:24   
     13) Area:2 Z=1   H-PLE     bl:24    ln:31   
     14) Area:2 Z=1   H-WTR     bl:92    ln:144  
     15) Area:2 Z=2   HE-3      bl:105   ln:198  
     16) Area:2 Z=2   HE-4      bl:97    ln:157  
     17) Area:2 Z=3   LI-0      bl:24    ln:50   
     18) Area:2 Z=3   LI-6      bl:303   ln:713  
     19) Area:2 Z=3   LI-7      bl:229   ln:514  
     20) Area:2 Z=3   LI-8      bl:1     ln:1    
     21) Area:2 Z=3   LI-9      bl:1     ln:1    
     22) Area:2 Z=3   LI-CMP    bl:2     ln:2    
     23) Area:2 Z=4   BE-10     bl:3     ln:4    
     24) Area:2 Z=4   BE-7      bl:9     ln:10   
     25) Area:2 Z=4   BE-9      bl:285   ln:584  
     26) Area:2 Z=4   BE-CMP    bl:4     ln:4    
     27) Area:2 Z=4   BE-OXI    bl:19    ln:27   
     28) Area:2 Z=5   B-0       bl:36    ln:74   
     29) Area:2 Z=5   B-10      bl:186   ln:411  
     30) Area:2 Z=5   B-11      bl:130   ln:255  
     31) Area:2 Z=6   C-0       bl:11    ln:38   
     32) Area:2 Z=6   C-11      bl:7     ln:7    
     33) Area:2 Z=6   C-12      bl:701   ln:1593 
     34) Area:2 Z=6   C-13      bl:30    ln:47   
     35) Area:2 Z=6   C-14      bl:5     ln:7    
     36) Area:2 Z=6   C-15      bl:1     ln:1    
     37) Area:2 Z=6   C-16      bl:1     ln:1    
     38) Area:2 Z=6   C-17      bl:1     ln:1    
     39) Area:2 Z=6   C-CMP     bl:2     ln:4    
     40) Area:2 Z=7   N-0       bl:6     ln:15   
     41) Area:2 Z=7   N-13      bl:4     ln:4    
     42) Area:2 Z=7   N-14      bl:215   ln:442  
     43) Area:2 Z=7   N-15      bl:55    ln:88   
     44) Area:2 Z=7   N-16      bl:1     ln:1    
     45) Area:2 Z=7   N-17      bl:1     ln:1    
     46) Area:2 Z=7   N-18      bl:1     ln:1    
     47) Area:2 Z=7   N-AIR     bl:1     ln:2    
     48) Area:2 Z=7   N-AMM     bl:8     ln:9    
     49) Area:2 Z=8   O-0       bl:6     ln:16   
     50) Area:2 Z=8   O-14      bl:3     ln:3    
     51) Area:2 Z=8   O-15      bl:3     ln:4    
     52) Area:2 Z=8   O-16      bl:349   ln:730  
     53) Area:2 Z=8   O-17      bl:21    ln:37   
     54) Area:2 Z=8   O-18      bl:33    ln:80   
     55) Area:2 Z=8   O-19      bl:1     ln:1    
     56) Area:2 Z=8   O-20      bl:1     ln:1    
     57) Area:2 Z=8   O-21      bl:1     ln:1    
     58) Area:2 Z=9   F-19      bl:217   ln:425  
     59) Area:2 Z=9   F-20      bl:4     ln:8    
     60) Area:2 Z=9   F-CMP     bl:1     ln:2    
     61) Area:2 Z=10  NE-0      bl:21    ln:47   
     62) Area:2 Z=10  NE-20     bl:44    ln:72   
     63) Area:2 Z=10  NE-21     bl:10    ln:19   
     64) Area:2 Z=10  NE-22     bl:23    ln:42   
     65) Area:2 Z=11  NA-22     bl:21    ln:24   
     66) Area:2 Z=11  NA-23     bl:343   ln:729  
     67) Area:2 Z=11  NA-24     bl:12    ln:23   
     68) Area:2 Z=11  NA-CMP    bl:7     ln:8    
     69) Area:2 Z=12  MG-0      bl:79    ln:185  
