CINDA BACKUP   BCK00420140625  61486  28750
    110) Area:4 Z=22  TI-44     bl:2     ln:3    
    111) Area:4 Z=22  TI-46     bl:51    ln:106  
    112) Area:4 Z=22  TI-47     bl:32    ln:63   
    113) Area:4 Z=22  TI-48     bl:89    ln:179  
    114) Area:4 Z=22  TI-49     bl:25    ln:49   
    115) Area:4 Z=22  TI-50     bl:34    ln:63   
    116) Area:4 Z=22  TI-51     bl:2     ln:3    
    117) Area:4 Z=23  V-0       bl:4     ln:13   
    118) Area:4 Z=23  V-48      bl:1     ln:1    
    119) Area:4 Z=23  V-49      bl:2     ln:2    
    120) Area:4 Z=23  V-50      bl:31    ln:56   
    121) Area:4 Z=23  V-51      bl:124   ln:268  
    122) Area:4 Z=23  V-52      bl:3     ln:7    
    123) Area:4 Z=23  V-CMP     bl:1     ln:2    
    124) Area:4 Z=24  CR-0      bl:141   ln:354  
    125) Area:4 Z=24  CR-48     bl:2     ln:3    
    126) Area:4 Z=24  CR-50     bl:78    ln:175  
    127) Area:4 Z=24  CR-51     bl:4     ln:6    
    128) Area:4 Z=24  CR-52     bl:146   ln:293  
    129) Area:4 Z=24  CR-53     bl:51    ln:96   
    130) Area:4 Z=24  CR-54     bl:57    ln:124  
    131) Area:4 Z=24  CR-55     bl:3     ln:5    
    132) Area:4 Z=24  CR-59     bl:1     ln:1    
    133) Area:4 Z=25  MN-52     bl:1     ln:1    
    134) Area:4 Z=25  MN-53     bl:1     ln:1    
    135) Area:4 Z=25  MN-54     bl:6     ln:8    
    136) Area:4 Z=25  MN-55     bl:145   ln:307  
    137) Area:4 Z=25  MN-56     bl:7     ln:14   
    138) Area:4 Z=25  MN-CMP    bl:2     ln:4    
    139) Area:4 Z=26  FE-0      bl:302   ln:721  
    140) Area:4 Z=26  FE-52     bl:1     ln:1    
    141) Area:4 Z=26  FE-54     bl:154   ln:327  
    142) Area:4 Z=26  FE-55     bl:8     ln:10   
    143) Area:4 Z=26  FE-56     bl:291   ln:560  
    144) Area:4 Z=26  FE-57     bl:52    ln:91   
    145) Area:4 Z=26  FE-58     bl:58    ln:101  
    146) Area:4 Z=26  FE-59     bl:3     ln:4    
    147) Area:4 Z=26  FE-CMP    bl:13    ln:23   
    148) Area:4 Z=27  CO-55     bl:1     ln:1    
    149) Area:4 Z=27  CO-56     bl:1     ln:1    
    150) Area:4 Z=27  CO-57     bl:2     ln:3    
    151) Area:4 Z=27  CO-58     bl:9     ln:21   
    152) Area:4 Z=27  CO-59     bl:218   ln:504  
    153) Area:4 Z=27  CO-60     bl:7     ln:18   
    154) Area:4 Z=28  NI-0      bl:181   ln:427  
    155) Area:4 Z=28  NI-56     bl:6     ln:9    
    156) Area:4 Z=28  NI-57     bl:1     ln:1    
    157) Area:4 Z=28  NI-58     bl:231   ln:483  
    158) Area:4 Z=28  NI-59     bl:12    ln:14   
    159) Area:4 Z=28  NI-60     bl:162   ln:310  
    160) Area:4 Z=28  NI-61     bl:38    ln:67   
    161) Area:4 Z=28  NI-62     bl:108   ln:215  
    162) Area:4 Z=28  NI-63     bl:4     ln:5    
    163) Area:4 Z=28  NI-64     bl:79    ln:140  
    164) Area:4 Z=28  NI-65     bl:3     ln:5    
    165) Area:4 Z=28  NI-68     bl:1     ln:1    
    166) Area:4 Z=28  NI-CMP    bl:2     ln:4    
    167) Area:4 Z=29  CU-0      bl:220   ln:562  
    168) Area:4 Z=29  CU-63     bl:92    ln:196  
    169) Area:4 Z=29  CU-64     bl:6     ln:11   
    170) Area:4 Z=29  CU-65     bl:70    ln:153  
    171) Area:4 Z=29  CU-66     bl:1     ln:2    
    172) Area:4 Z=29  CU-67     bl:1     ln:1    
    173) Area:4 Z=29  CU-CMP    bl:1     ln:1    
    174) Area:4 Z=30  ZN-0      bl:117   ln:296  
    175) Area:4 Z=30  ZN-63     bl:1     ln:1    
    176) Area:4 Z=30  ZN-64     bl:87    ln:202  
    177) Area:4 Z=30  ZN-65     bl:9     ln:12   
    178) Area:4 Z=30  ZN-66     bl:64    ln:145  
    179) Area:4 Z=30  ZN-67     bl:42    ln:87   
    180) Area:4 Z=30  ZN-68     bl:67    ln:147  
    181) Area:4 Z=30  ZN-69     bl:3     ln:6    
    182) Area:4 Z=30  ZN-70     bl:18    ln:33   
    183) Area:4 Z=30  ZN-71     bl:1     ln:2    
    184) Area:4 Z=31  GA-0      bl:22    ln:51   
    185) Area:4 Z=31  GA-67     bl:1     ln:1    
    186) Area:4 Z=31  GA-69     bl:38    ln:105  
    187) Area:4 Z=31  GA-70     bl:1     ln:2    
    188) Area:4 Z=31  GA-71     bl:31    ln:89   
    189) Area:4 Z=31  GA-72     bl:2     ln:3    
    190) Area:4 Z=32  GE-0      bl:39    ln:77   
    191) Area:4 Z=32  GE-68     bl:1     ln:2    
    192) Area:4 Z=32  GE-69     bl:1     ln:1    
    193) Area:4 Z=32  GE-70     bl:69    ln:135  
    194) Area:4 Z=32  GE-71     bl:5     ln:6    
    195) Area:4 Z=32  GE-72     bl:64    ln:126  
    196) Area:4 Z=32  GE-73     bl:30    ln:68   
    197) Area:4 Z=32  GE-74     bl:67    ln:140  
    198) Area:4 Z=32  GE-75     bl:2     ln:3    
    199) Area:4 Z=32  GE-76     bl:48    ln:95   
    200) Area:4 Z=32  GE-77     bl:2     ln:3    
    201) Area:4 Z=32  GE-78     bl:1     ln:1    
    202) Area:4 Z=33  AS-71     bl:2     ln:2    
    203) Area:4 Z=33  AS-72     bl:1     ln:1    
    204) Area:4 Z=33  AS-73     bl:1     ln:1    
    205) Area:4 Z=33  AS-74     bl:1     ln:1    
    206) Area:4 Z=33  AS-75     bl:47    ln:107  
    207) Area:4 Z=33  AS-76     bl:2     ln:3    
    208) Area:4 Z=33  AS-77     bl:2     ln:2    
    209) Area:4 Z=34  SE-0      bl:49    ln:110  
    210) Area:4 Z=34  SE-72     bl:2     ln:3    
    211) Area:4 Z=34  SE-73     bl:1     ln:3    
    212) Area:4 Z=34  SE-74     bl:45    ln:92   
    213) Area:4 Z=34  SE-75     bl:3     ln:5    
    214) Area:4 Z=34  SE-76     bl:79    ln:175  
    215) Area:4 Z=34  SE-77     bl:34    ln:82   
    216) Area:4 Z=34  SE-78     bl:90    ln:202  
    217) Area:4 Z=34  SE-79     bl:8     ln:12   
    218) Area:4 Z=34  SE-80     bl:107   ln:252  
    219) Area:4 Z=34  SE-81     bl:3     ln:4    
    220) Area:4 Z=34  SE-82     bl:69    ln:146  
    221) Area:4 Z=34  SE-83     bl:2     ln:3    
    222) Area:4 Z=34  SE-84     bl:1     ln:1    
    223) Area:4 Z=35  BR-0      bl:26    ln:60   
    224) Area:4 Z=35  BR-76     bl:1     ln:1    
    225) Area:4 Z=35  BR-79     bl:34    ln:77   
    226) Area:4 Z=35  BR-80     bl:2     ln:3    
    227) Area:4 Z=35  BR-81     bl:37    ln:72   
    228) Area:4 Z=35  BR-82     bl:2     ln:3    
    229) Area:4 Z=35  BR-83     bl:1     ln:1    
    230) Area:4 Z=35  BR-85     bl:1     ln:1    
    231) Area:4 Z=35  BR-87     bl:1     ln:1    
    232) Area:4 Z=36  KR-0      bl:6     ln:11   
