CINDA BACKUP   BCK00320140625  45544  27240
      1) Area:3 Z=1   H-1       bl:95    ln:162  
      2) Area:3 Z=1   H-2       bl:109   ln:206  
      3) Area:3 Z=1   H-3       bl:24    ln:35   
      4) Area:3 Z=1   H-BNZ     bl:13    ln:19   
      5) Area:3 Z=1   H-CMP     bl:14    ln:18   
      6) Area:3 Z=1   H-CXX     bl:52    ln:85   
      7) Area:3 Z=1   H-D2O     bl:15    ln:24   
      8) Area:3 Z=1   H-DXX     bl:3     ln:6    
      9) Area:3 Z=1   H-MTH     bl:20    ln:35   
     10) Area:3 Z=1   H-PHL     bl:5     ln:6    
     11) Area:3 Z=1   H-PLE     bl:7     ln:18   
     12) Area:3 Z=1   H-WTR     bl:36    ln:52   
     13) Area:3 Z=2   HE-3      bl:37    ln:64   
     14) Area:3 Z=2   HE-4      bl:34    ln:46   
     15) Area:3 Z=3   LI-0      bl:13    ln:19   
     16) Area:3 Z=3   LI-6      bl:99    ln:188  
     17) Area:3 Z=3   LI-7      bl:72    ln:164  
     18) Area:3 Z=3   LI-8      bl:1     ln:1    
     19) Area:3 Z=3   LI-CMP    bl:6     ln:7    
     20) Area:3 Z=4   BE-10     bl:1     ln:1    
     21) Area:3 Z=4   BE-7      bl:5     ln:8    
     22) Area:3 Z=4   BE-9      bl:129   ln:208  
     23) Area:3 Z=4   BE-OXI    bl:10    ln:10   
     24) Area:3 Z=5   B-0       bl:14    ln:31   
     25) Area:3 Z=5   B-10      bl:53    ln:106  
     26) Area:3 Z=5   B-11      bl:36    ln:55   
     27) Area:3 Z=5   B-CMP     bl:1     ln:1    
     28) Area:3 Z=6   C-12      bl:201   ln:359  
     29) Area:3 Z=6   C-13      bl:13    ln:20   
     30) Area:3 Z=6   C-14      bl:1     ln:1    
     31) Area:3 Z=6   C-19      bl:1     ln:1    
     32) Area:3 Z=6   C-CMP     bl:6     ln:13   
     33) Area:3 Z=7   N-0       bl:1     ln:2    
     34) Area:3 Z=7   N-13      bl:2     ln:2    
     35) Area:3 Z=7   N-14      bl:71    ln:169  
     36) Area:3 Z=7   N-15      bl:29    ln:53   
     37) Area:3 Z=7   N-AIR     bl:1     ln:3    
     38) Area:3 Z=7   N-AMM     bl:21    ln:28   
     39) Area:3 Z=7   N-CMP     bl:1     ln:1    
     40) Area:3 Z=8   O-0       bl:1     ln:2    
     41) Area:3 Z=8   O-15      bl:1     ln:1    
     42) Area:3 Z=8   O-16      bl:78    ln:136  
     43) Area:3 Z=8   O-17      bl:12    ln:15   
     44) Area:3 Z=8   O-18      bl:12    ln:14   
     45) Area:3 Z=8   O-19      bl:1     ln:1    
     46) Area:3 Z=9   F-19      bl:100   ln:190  
     47) Area:3 Z=9   F-20      bl:3     ln:3    
     48) Area:3 Z=9   F-CMP     bl:4     ln:8    
     49) Area:3 Z=10  NE-0      bl:9     ln:14   
     50) Area:3 Z=10  NE-20     bl:15    ln:21   
     51) Area:3 Z=10  NE-21     bl:5     ln:8    
     52) Area:3 Z=10  NE-22     bl:9     ln:12   
     53) Area:3 Z=11  NA-22     bl:7     ln:9    
     54) Area:3 Z=11  NA-23     bl:131   ln:290  
     55) Area:3 Z=11  NA-24     bl:4     ln:4    
     56) Area:3 Z=11  NA-CMP    bl:3     ln:3    
     57) Area:3 Z=12  MG-0      bl:43    ln:92   
     58) Area:3 Z=12  MG-24     bl:76    ln:177  
     59) Area:3 Z=12  MG-25     bl:27    ln:41   
     60) Area:3 Z=12  MG-26     bl:34    ln:48   
     61) Area:3 Z=12  MG-27     bl:2     ln:2    
     62) Area:3 Z=12  MG-CMP    bl:2     ln:2    
     63) Area:3 Z=13  AL-26     bl:1     ln:1    
     64) Area:3 Z=13  AL-27     bl:342   ln:689  
     65) Area:3 Z=13  AL-28     bl:4     ln:4    
     66) Area:3 Z=13  AL-CMP    bl:1     ln:1    
     67) Area:3 Z=14  SI-0      bl:64    ln:161  
     68) Area:3 Z=14  SI-27     bl:1     ln:1    
     69) Area:3 Z=14  SI-28     bl:143   ln:402  
     70) Area:3 Z=14  SI-29     bl:42    ln:69   
     71) Area:3 Z=14  SI-30     bl:38    ln:72   
     72) Area:3 Z=14  SI-31     bl:2     ln:2    
     73) Area:3 Z=14  SI-CMP    bl:2     ln:3    
     74) Area:3 Z=14  SI-OXI    bl:4     ln:7    
     75) Area:3 Z=15  P-29      bl:1     ln:2    
     76) Area:3 Z=15  P-30      bl:1     ln:1    
     77) Area:3 Z=15  P-31      bl:104   ln:204  
     78) Area:3 Z=15  P-32      bl:3     ln:6    
     79) Area:3 Z=16  S-0       bl:52    ln:114  
     80) Area:3 Z=16  S-32      bl:97    ln:177  
     81) Area:3 Z=16  S-33      bl:16    ln:19   
     82) Area:3 Z=16  S-34      bl:32    ln:49   
     83) Area:3 Z=16  S-35      bl:1     ln:1    
     84) Area:3 Z=16  S-36      bl:9     ln:9    
     85) Area:3 Z=16  S-CMP     bl:7     ln:9    
     86) Area:3 Z=17  CL-0      bl:23    ln:33   
     87) Area:3 Z=17  CL-34     bl:1     ln:1    
     88) Area:3 Z=17  CL-35     bl:66    ln:105  
     89) Area:3 Z=17  CL-36     bl:3     ln:3    
     90) Area:3 Z=17  CL-37     bl:42    ln:68   
     91) Area:3 Z=17  CL-38     bl:1     ln:1    
     92) Area:3 Z=17  CL-CMP    bl:2     ln:2    
     93) Area:3 Z=18  AR-0      bl:15    ln:23   
     94) Area:3 Z=18  AR-36     bl:10    ln:10   
