CINDA BACKUP   BCK00120140625  95812  41476
      1) Area:1 Z=0   NN-1      bl:4     ln:6    
      2) Area:1 Z=1   H-0       bl:2     ln:3    
      3) Area:1 Z=1   H-1       bl:427   ln:981  
      4) Area:1 Z=1   H-2       bl:323   ln:707  
      5) Area:1 Z=1   H-3       bl:72    ln:158  
      6) Area:1 Z=1   H-BNZ     bl:17    ln:23   
      7) Area:1 Z=1   H-CMP     bl:8     ln:9    
      8) Area:1 Z=1   H-CXX     bl:44    ln:53   
      9) Area:1 Z=1   H-D2O     bl:40    ln:74   
     10) Area:1 Z=1   H-DXX     bl:5     ln:6    
     11) Area:1 Z=1   H-MTH     bl:29    ln:48   
     12) Area:1 Z=1   H-PFN     bl:11    ln:12   
     13) Area:1 Z=1   H-PHL     bl:6     ln:8    
     14) Area:1 Z=1   H-PLE     bl:43    ln:73   
     15) Area:1 Z=1   H-WTR     bl:94    ln:183  
     16) Area:1 Z=2   HE-0      bl:2     ln:3    
     17) Area:1 Z=2   HE-3      bl:136   ln:299  
     18) Area:1 Z=2   HE-4      bl:137   ln:298  
     19) Area:1 Z=3   LI-0      bl:63    ln:121  
     20) Area:1 Z=3   LI-6      bl:314   ln:951  
     21) Area:1 Z=3   LI-7      bl:235   ln:694  
     22) Area:1 Z=3   LI-8      bl:3     ln:5    
     23) Area:1 Z=3   LI-CMP    bl:3     ln:3    
     24) Area:1 Z=4   BE-0      bl:1     ln:1    
     25) Area:1 Z=4   BE-10     bl:5     ln:5    
     26) Area:1 Z=4   BE-7      bl:17    ln:42   
     27) Area:1 Z=4   BE-9      bl:358   ln:921  
     28) Area:1 Z=4   BE-OXI    bl:16    ln:24   
     29) Area:1 Z=5   B-0       bl:90    ln:176  
     30) Area:1 Z=5   B-10      bl:239   ln:687  
     31) Area:1 Z=5   B-11      bl:133   ln:369  
     32) Area:1 Z=5   B-CMP     bl:6     ln:11   
     33) Area:1 Z=6   C-0       bl:17    ln:72   
     34) Area:1 Z=6   C-11      bl:10    ln:10   
     35) Area:1 Z=6   C-12      bl:734   ln:1876 
     36) Area:1 Z=6   C-13      bl:87    ln:279  
     37) Area:1 Z=6   C-14      bl:12    ln:17   
     38) Area:1 Z=6   C-CMP     bl:6     ln:7    
     39) Area:1 Z=7   N-0       bl:5     ln:29   
     40) Area:1 Z=7   N-13      bl:7     ln:7    
     41) Area:1 Z=7   N-14      bl:353   ln:851  
     42) Area:1 Z=7   N-15      bl:47    ln:78   
     43) Area:1 Z=7   N-16      bl:2     ln:2    
     44) Area:1 Z=7   N-AIR     bl:4     ln:4    
     45) Area:1 Z=7   N-AMM     bl:14    ln:19   
     46) Area:1 Z=7   N-CMP     bl:2     ln:2    
     47) Area:1 Z=8   O-0       bl:5     ln:25   
     48) Area:1 Z=8   O-14      bl:4     ln:5    
     49) Area:1 Z=8   O-15      bl:19    ln:20   
     50) Area:1 Z=8   O-16      bl:399   ln:998  
     51) Area:1 Z=8   O-17      bl:44    ln:78   
     52) Area:1 Z=8   O-18      bl:37    ln:86   
     53) Area:1 Z=8   O-19      bl:1     ln:1    
     54) Area:1 Z=8   O-20      bl:1     ln:1    
     55) Area:1 Z=8   O-CMP     bl:5     ln:15   
     56) Area:1 Z=9   F-0       bl:1     ln:1    
     57) Area:1 Z=9   F-18      bl:4     ln:4    
     58) Area:1 Z=9   F-19      bl:215   ln:522  
     59) Area:1 Z=9   F-20      bl:5     ln:5    
     60) Area:1 Z=9   F-CMP     bl:2     ln:2    
     61) Area:1 Z=10  NE-0      bl:27    ln:54   
     62) Area:1 Z=10  NE-19     bl:3     ln:3    
     63) Area:1 Z=10  NE-20     bl:50    ln:81   
     64) Area:1 Z=10  NE-21     bl:12    ln:16   
     65) Area:1 Z=10  NE-22     bl:15    ln:25   
     66) Area:1 Z=10  NE-23     bl:2     ln:2    
     67) Area:1 Z=11  NA-0      bl:1     ln:1    
     68) Area:1 Z=11  NA-21     bl:1     ln:1    
     69) Area:1 Z=11  NA-22     bl:14    ln:48   
     70) Area:1 Z=11  NA-23     bl:288   ln:752  
     71) Area:1 Z=11  NA-24     bl:7     ln:8    
     72) Area:1 Z=11  NA-CMP    bl:5     ln:5    
     73) Area:1 Z=12  MG-0      bl:184   ln:471  
     74) Area:1 Z=12  MG-22     bl:1     ln:1    
     75) Area:1 Z=12  MG-23     bl:3     ln:4    
     76) Area:1 Z=12  MG-24     bl:97    ln:208  
     77) Area:1 Z=12  MG-25     bl:41    ln:68   
     78) Area:1 Z=12  MG-26     bl:50    ln:99   
     79) Area:1 Z=12  MG-27     bl:4     ln:6    
     80) Area:1 Z=12  MG-CMP    bl:6     ln:7    
     81) Area:1 Z=13  AL-0      bl:1     ln:1    
     82) Area:1 Z=13  AL-25     bl:1     ln:1    
     83) Area:1 Z=13  AL-26     bl:9     ln:15   
     84) Area:1 Z=13  AL-27     bl:652   ln:1730 
     85) Area:1 Z=13  AL-28     bl:5     ln:5    
     86) Area:1 Z=13  AL-CMP    bl:4     ln:5    
     87) Area:1 Z=14  SI-0      bl:191   ln:586  
     88) Area:1 Z=14  SI-27     bl:5     ln:5    
     89) Area:1 Z=14  SI-28     bl:162   ln:370  
     90) Area:1 Z=14  SI-29     bl:45    ln:89   
     91) Area:1 Z=14  SI-30     bl:50    ln:91   
     92) Area:1 Z=14  SI-31     bl:4     ln:5    
     93) Area:1 Z=14  SI-32     bl:1     ln:2    
     94) Area:1 Z=14  SI-CMP    bl:3     ln:9    
     95) Area:1 Z=14  SI-OXI    bl:13    ln:15   
     96) Area:1 Z=15  P-0       bl:1     ln:1    
     97) Area:1 Z=15  P-29      bl:2     ln:2    
     98) Area:1 Z=15  P-30      bl:3     ln:4    
     99) Area:1 Z=15  P-31      bl:123   ln:235  
    100) Area:1 Z=15  P-32      bl:5     ln:5    
    101) Area:1 Z=16  S-0       bl:162   ln:416  
    102) Area:1 Z=16  S-31      bl:2     ln:2    
    103) Area:1 Z=16  S-32      bl:144   ln:288  
    104) Area:1 Z=16  S-33      bl:37    ln:90   
    105) Area:1 Z=16  S-34      bl:48    ln:114  
    106) Area:1 Z=16  S-35      bl:2     ln:2    
    107) Area:1 Z=16  S-36      bl:10    ln:20   
    108) Area:1 Z=16  S-37      bl:2     ln:2    
    109) Area:1 Z=16  S-CMP     bl:3     ln:3    
    110) Area:1 Z=17  CL-0      bl:74    ln:171  
    111) Area:1 Z=17  CL-34     bl:2     ln:2    
    112) Area:1 Z=17  CL-35     bl:90    ln:180  
    113) Area:1 Z=17  CL-36     bl:13    ln:23   
    114) Area:1 Z=17  CL-37     bl:49    ln:104  
    115) Area:1 Z=17  CL-38     bl:4     ln:4    
    116) Area:1 Z=17  CL-CMP    bl:7     ln:14   
    117) Area:1 Z=18  AR-0      bl:40    ln:76   
    118) Area:1 Z=18  AR-35     bl:2     ln:2    
    119) Area:1 Z=18  AR-36     bl:24    ln:57   
    120) Area:1 Z=18  AR-37     bl:4     ln:4    
    121) Area:1 Z=18  AR-38     bl:10    ln:15   
    122) Area:1 Z=18  AR-39     bl:2     ln:2    
    123) Area:1 Z=18  AR-40     bl:61    ln:137  
    124) Area:1 Z=18  AR-41     bl:4     ln:4    
    125) Area:1 Z=19  K-0       bl:81    ln:171  
    126) Area:1 Z=19  K-38      bl:3     ln:3    
    127) Area:1 Z=19  K-39      bl:61    ln:125  
    128) Area:1 Z=19  K-40      bl:14    ln:24   
    129) Area:1 Z=19  K-41      bl:55    ln:126  
